date,cost of living
2011-09-01,44.17949951876805
2011-10-01,44.54541864139021
2011-11-01,42.23832528180354
2011-12-01,42.83793969849247
2012-01-01,39.132566069906225
2012-02-01,39.72480791962175
2012-03-01,38.55085243974133
2012-04-01,39.45547533092659
2012-05-01,38.27726574500768
2012-06-01,38.125
2012-07-01,37.58956721123531
2012-08-01,37.37330560690081
2012-09-01,39.97192813602823
2012-10-01,38.32977883096367
2012-11-01,36.9585346215781
2012-12-01,36.24748743718593
2013-01-01,39.132566069906225
2013-02-01,38.755910165484636
2013-03-01,38.55085243974133
2013-04-01,36.4963146811071
2013-05-01,39.28456221198157
2013-06-01,37.1474358974359
2013-07-01,38.529306391516194
2013-08-01,38.383394947627856
2013-09-01,38.92003529034328
2013-10-01,41.43759873617694
2013-11-01,38.01449275362319
2013-12-01,42.83793969849247
2014-01-01,42.85947712418301
2014-02-01,40.69370567375886
2014-03-01,41.44216637272193
2014-04-01,43.401022864019254
2014-05-01,44.321044546851
2014-06-01,43.99038461538461
2014-07-01,43.22800229292061
2014-08-01,40.403573629081954
2014-09-01,42.07571382739814
2014-10-01,38.32977883096367
2014-11-01,42.23832528180354
2014-12-01,41.73953098827471
2015-01-01,40.99602159704462
2015-02-01,40.69370567375886
2015-03-01,43.36970899470899
2015-04-01,43.401022864019254
2015-05-01,42.30645161290323
2015-06-01,42.03525641025641
2015-07-01,45.10748065348237
2015-08-01,46.46410967344425
2015-09-01,44.17949951876805
2015-10-01,46.617298578199055
2015-11-01,41.182367149758456
2015-12-01,41.73953098827471
2016-01-01,38.20083830633703
2016-02-01,39.72480791962175
2016-03-01,41.44216637272193
2016-04-01,41.42824909747292
2016-05-01,40.29185867895546
2016-06-01,40.080128205128204
2016-07-01,36.64982803095443
2016-08-01,38.383394947627856
2016-09-01,38.92003529034328
2016-10-01,39.36571879936809
2016-11-01,42.23832528180354
2016-12-01,40.641122278056955
2017-01-01,40.06429383347542
2017-02-01,39.72480791962175
2017-03-01,42.40593768371546
2017-04-01,42.414635980746084
2017-05-01,43.313748079877115
2017-06-01,43.01282051282051
2017-07-01,42.288263112639726
2017-08-01,41.413662969809
2017-09-01,39.97192813602823
2017-10-01,41.43759873617694
2017-11-01,42.23832528180354
2017-12-01,43.936348408710224
2018-01-01,43.7912048877522
2018-02-01,41.66260342789598
2018-03-01,43.36970899470899
2018-04-01,46.36018351383875
2018-05-01,45.32834101382489
2018-06-01,46.92307692307692
2018-07-01,46.98695901404414
2018-08-01,45.4540203327172
2018-09-01,44.17949951876805
2018-10-01,46.617298578199055
2018-11-01,45.40619967793881
2018-12-01,45.03475711892798
2019-01-01,44.7229326513214
2019-02-01,43.600398936170215
2019-03-01,46.261022927689595
2019-04-01,43.401022864019254
2019-05-01,44.321044546851
2019-06-01,44.967948717948715
2019-07-01,44.16774147320149
2019-08-01,43.4338416512631
2019-09-01,44.17949951876805
2019-10-01,46.617298578199055
2019-11-01,42.23832528180354
2019-12-01,47.231574539363486
2020-01-01,48.449843705598184
2020-02-01,47.47598995271868
2020-03-01,31.804453262786595
2020-04-01,28.60521961492178
2020-05-01,32.233486943164365
2020-06-01,35.19230769230769
2020-07-01,35.71008885067354
2020-08-01,38.383394947627856
2020-09-01,41.023820981713186
2020-10-01,39.36571879936809
2020-11-01,36.9585346215781
2020-12-01,38.44430485762145
2021-01-01,36.337382779198634
2021-02-01,38.755910165484636
2021-03-01,35.659538506760725
2021-04-01,36.4963146811071
2021-05-01,37.2699692780338
2021-06-01,38.125
2021-07-01,37.58956721123531
2021-08-01,38.383394947627856
2021-09-01,41.023820981713186
2021-10-01,43.509478672985786
2021-11-01,40.126409017713364
2021-12-01,41.73953098827471
2022-01-01,46.58638817845979
2022-02-01,51.35158096926714
2022-03-01,53.00742210464433
2022-04-01,53.2648916967509
2022-05-01,50.36482334869432
2022-06-01,49.855769230769226
2022-07-01,48.8664373746059
2022-08-01,48.48428835489834
2022-09-01,50.49085659287776
2022-10-01,51.79699842022117
2022-11-01,46.4621578099839
2022-12-01,46.13316582914573
2023-01-01,43.7912048877522
2023-02-01,42.6315011820331
2023-03-01,44.33348030570253
2023-04-01,46.36018351383875
2023-05-01,47.342933947772664
2023-06-01,44.967948717948715
2023-07-01,46.04721983376326
2023-08-01,47.4741990141713
2023-09-01,52.59464228424767
2023-10-01,49.72511848341233
2023-11-01,48.574074074074076
2023-12-01,49.428391959799
2024-01-01,47.518115942028984
2024-02-01,45.53819444444444
2024-03-01,49.15233686067019
2024-04-01,49.31934416365824
2024-05-01,49.35752688172043
2024-06-01,44.967948717948715
2024-07-01,44.16774147320149
2024-08-01,46.46410967344425
2024-09-01,49.438963747192815
2024-10-01,47.65323854660348
2024-11-01,52.79790660225443
2024-12-01,48.32998324958125
2025-01-01,47.518115942028984
2025-02-01,48.444887706855795
2025-03-01,47.224794238683124
2025-04-01,46.36018351383875
2025-05-01,43.313748079877115
2025-06-01,46.92307692307692
2025-07-01,61.08304671825738
2025-08-01,55.55491373998768
2025-09-01,53.64653512993262
2025-10-01,53.86887835703002
2025-11-01,81.30877616747182
2025-12-01,86.7742881072027
