date,homeless shelter
2018-02-01,68.65301837270341
2018-03-01,78.67002518891688
2018-04-01,77.9701828410689
2018-05-01,77.21698662012797
2018-06-01,75.83783783783782
2018-07-01,83.88760330578512
2018-08-01,82.41777777777777
2018-09-01,76.4865306122449
2018-10-01,78.35772357723577
2018-11-01,78.15815815815816
2018-12-01,70.55421686746988
2019-01-01,84.66276803118907
2019-02-01,87.09711286089238
2019-03-01,83.0405821438567
2019-04-01,74.67566807313642
2019-05-01,80.62361838278068
2019-06-01,87.92792792792793
2019-07-01,82.81212121212121
2019-08-01,74.82666666666665
2019-09-01,82.8604081632653
2019-10-01,84.3089430894309
2019-11-01,77.37657657657657
2019-12-01,72.90602409638554
2020-01-01,81.80896686159844
2020-02-01,79.92440944881889
2020-03-01,79.76266442765183
2020-04-01,66.98846694796062
2020-05-01,60.18382780686444
2020-06-01,63.74774774774774
2020-07-01,65.60440771349862
2020-08-01,67.23555555555555
2020-09-01,64.80108843537415
2020-10-01,64.47154471544715
2020-11-01,60.18178178178178
2020-12-01,68.9863453815261
2021-01-01,65.63742690058479
2021-02-01,75.8257217847769
2021-03-01,64.46571508536243
2021-04-01,64.79212376933896
2021-05-01,73.81035485747526
2021-06-01,70.34234234234233
2021-07-01,69.90633608815426
2021-08-01,72.65777777777777
