date,lease agreement
2015-04-01,59.27556538839725
2015-05-01,56.76388888888889
2015-06-01,56.234798047048386
2015-07-01,59.08078231292517
2015-08-01,59.80975609756098
2015-09-01,56.1373558989453
2015-10-01,55.32848020434227
2015-11-01,56.76388888888888
2015-12-01,55.408782788093134
2016-01-01,48.082352941176474
2016-02-01,48.082352941176474
2016-03-01,53.62705021448397
2016-04-01,50.233529990167156
2016-05-01,53.877589453860644
2016-06-01,48.071682201509105
2016-07-01,44.31058673469388
2016-08-01,51.50284552845528
2016-09-01,47.11528084375766
2016-10-01,48.02094508301405
2016-11-01,55.628611111111105
2016-12-01,49.38608900677866
2017-01-01,51.2878431372549
2017-02-01,56.63032679738562
2017-03-01,60.846076204895276
2017-04-01,57.26622418879056
2017-05-01,58.68808851224106
2017-06-01,49.88570794496228
2017-07-01,55.60544217687075
2017-08-01,56.4869918699187
2017-09-01,53.129997547216085
2017-10-01,58.460280970625796
2017-11-01,57.89916666666666
2017-12-01,52.999705275567344
2018-01-01,57.69882352941177
2018-02-01,56.63032679738562
2018-03-01,52.59576078728236
2018-04-01,62.289577187807275
2018-05-01,56.76388888888889
2018-06-01,56.234798047048386
2018-07-01,56.47427721088436
2018-08-01,58.979065040650404
2018-09-01,55.13490311503556
2018-10-01,55.32848020434227
2018-11-01,52.22277777777777
2018-12-01,48.18155025051577
2019-01-01,55.56183006535948
2019-02-01,55.56183006535948
2019-03-01,55.6896290688872
2019-04-01,59.27556538839725
2019-05-01,56.76388888888889
2019-06-01,52.606746560142035
2019-07-01,59.08078231292517
2019-08-01,58.14837398373984
2019-09-01,57.13980868285503
2019-10-01,58.460280970625796
2019-11-01,54.493333333333325
2019-12-01,54.204244031830235
2020-01-01,59.83581699346405
2020-02-01,58.76732026143791
2020-03-01,50.53318193287913
2020-04-01,46.21484759095379
2020-05-01,50.02919020715631
2020-06-01,51.69973368841545
2020-07-01,52.99893707482994
2020-08-01,53.16422764227642
2020-09-01,57.13980868285503
2020-10-01,57.41634738186462
2020-11-01,51.08749999999999
2020-12-01,55.408782788093134
2021-01-01,48.082352941176474
2021-02-01,53.42483660130719
2021-03-01,58.78349735049205
2021-04-01,55.25688298918387
2021-05-01,50.991290018832395
2021-06-01,56.234798047048386
2021-07-01,54.736607142857146
2021-08-01,57.31768292682927
2021-09-01,63.15452538631346
2021-10-01,65.76781609195402
2021-11-01,66.98138888888887
2021-12-01,66.24963159445917
2022-01-01,68.3837908496732
2022-02-01,72.65777777777778
2022-03-01,76.3154176129195
2022-04-01,70.32694198623402
2022-05-01,68.30908662900188
2022-06-01,61.6768752774079
2022-07-01,63.4249574829932
2022-08-01,63.13252032520325
2022-09-01,62.15207260240372
2022-10-01,61.59208173690932
2022-11-01,60.16972222222221
2022-12-01,67.45417035072208
2023-01-01,67.31529411764706
2023-02-01,72.65777777777778
2023-03-01,73.22154933131466
2023-04-01,68.31760078662734
2023-05-01,66.38488700564972
2023-06-01,63.49090102086108
2023-07-01,61.68728741496599
2023-08-01,60.640447154471545
2023-09-01,62.15207260240372
2023-10-01,67.85568326947637
2023-11-01,66.98138888888887
2023-12-01,67.45417035072208
2024-01-01,68.3837908496732
2024-02-01,72.65777777777778
2024-03-01,71.15897047691142
2024-04-01,68.31760078662734
2024-05-01,64.46068738229755
2024-06-01,59.86284953395473
2024-07-01,60.81845238095239
2024-08-01,57.31768292682927
2024-09-01,61.14961981849399
2024-10-01,58.460280970625796
2024-11-01,62.440277777777766
2024-12-01,63.84055408193339
2025-01-01,66.24679738562092
2025-02-01,72.65777777777778
2025-03-01,69.0963916225082
2025-04-01,68.31760078662734
2025-05-01,67.3469868173258
2025-06-01,66.21193963604084
2025-07-01,67.76913265306123
2025-08-01,60.640447154471545
2025-09-01,65.15943095413293
2025-10-01,65.76781609195402
2025-11-01,68.11666666666666
2025-12-01,77.09048040082523
