date,housing affordability
2014-06-01,8.44396551724138
2014-07-01,4.731884057971015
2014-08-01,6.663265306122449
2014-09-01,7.1645768025078365
2014-10-01,8.914675767918089
2014-11-01,6.925757575757577
2014-12-01,6.065015479876162
2015-01-01,12.854330708661418
2015-02-01,7.175824175824176
2015-03-01,7.750741839762612
2015-04-01,6.884036144578314
2015-05-01,7.915151515151516
2015-06-01,7.505747126436782
2015-07-01,8.517391304347827
2015-08-01,8.567055393586006
2015-09-01,7.1645768025078365
2015-10-01,8.914675767918089
2015-11-01,5.936363636363637
2015-12-01,9.097523219814242
2016-01-01,11.568897637795278
2016-02-01,8.072802197802199
2016-03-01,8.71958456973294
2016-04-01,9.83433734939759
2016-05-01,9.893939393939394
2016-06-01,8.44396551724138
2016-07-01,7.571014492753624
2016-08-01,5.711370262390671
2016-09-01,7.1645768025078365
2016-10-01,7.800341296928328
2016-11-01,6.925757575757577
2016-12-01,8.086687306501549
2017-01-01,14.139763779527561
2017-02-01,7.175824175824176
2017-03-01,10.657270029673592
2017-04-01,9.83433734939759
2017-05-01,8.904545454545456
2017-06-01,6.567528735632185
2017-07-01,8.517391304347827
2017-08-01,7.615160349854228
2017-09-01,7.1645768025078365
2017-10-01,10.02901023890785
2017-11-01,8.904545454545456
2017-12-01,6.065015479876162
2018-01-01,10.283464566929135
2018-02-01,9.866758241758243
2018-03-01,9.688427299703266
2018-04-01,10.81777108433735
2018-05-01,9.893939393939394
2018-06-01,9.382183908045977
2018-07-01,8.517391304347827
2018-08-01,9.518950437317784
2018-09-01,10.235109717868339
2018-10-01,11.143344709897612
2018-11-01,8.904545454545456
2018-12-01,8.086687306501549
2019-01-01,12.854330708661418
2019-02-01,8.96978021978022
2019-03-01,11.626112759643918
2019-04-01,12.784638554216867
2019-05-01,8.904545454545456
2019-06-01,8.44396551724138
2019-07-01,10.410144927536232
2019-08-01,8.567055393586006
2019-09-01,9.211598746081505
2019-10-01,12.257679180887372
2019-11-01,7.915151515151516
2019-12-01,9.097523219814242
2020-01-01,15.425196850393704
2020-02-01,11.660714285714286
2020-03-01,8.71958456973294
2020-04-01,6.884036144578314
2020-05-01,7.915151515151516
2020-06-01,7.505747126436782
2020-07-01,7.571014492753624
2020-08-01,6.663265306122449
2020-09-01,8.18808777429467
2020-10-01,7.800341296928328
2020-11-01,6.925757575757577
2020-12-01,7.075851393188856
2021-01-01,8.998031496062993
2021-02-01,8.072802197802199
2021-03-01,7.750741839762612
2021-04-01,8.850903614457831
2021-05-01,10.883333333333335
2021-06-01,6.567528735632185
2021-07-01,8.517391304347827
2021-08-01,9.518950437317784
2021-09-01,10.235109717868339
2021-10-01,11.143344709897612
2021-11-01,9.893939393939394
2021-12-01,10.108359133126935
2022-01-01,17.996062992125985
2022-02-01,17.04258241758242
2022-03-01,16.470326409495552
2022-04-01,21.6355421686747
2022-05-01,18.79848484848485
2022-06-01,15.011494252873565
2022-07-01,16.08840579710145
2022-08-01,18.08600583090379
2022-09-01,18.42319749216301
2022-10-01,18.94368600682594
2022-11-01,15.830303030303032
2022-12-01,16.173374613003098
2023-01-01,19.28149606299213
2023-02-01,17.04258241758242
2023-03-01,19.37685459940653
2023-04-01,17.701807228915662
2023-05-01,17.809090909090912
2023-06-01,15.949712643678163
2023-07-01,17.981159420289856
2023-08-01,19.037900874635568
2023-09-01,23.54075235109718
2023-10-01,26.744027303754265
2023-11-01,23.74545454545455
2023-12-01,18.195046439628484
2024-01-01,23.137795275590555
2024-02-01,19.733516483516485
2024-03-01,27.127596439169142
2024-04-01,23.602409638554217
2024-05-01,20.77727272727273
2024-06-01,30.961206896551726
2024-07-01,26.49855072463768
2024-08-01,34.268221574344025
2024-09-01,37.86990595611285
2024-10-01,37.88737201365188
2024-11-01,31.660606060606064
2024-12-01,23.249226006191954
2025-01-01,32.13582677165355
2025-02-01,26.01236263736264
2025-03-01,26.158753709198816
2025-04-01,27.536144578313255
2025-05-01,28.692424242424245
2025-06-01,32.83764367816092
2025-07-01,47.31884057971015
2025-08-01,33.316326530612244
2025-09-01,36.84639498432602
2025-10-01,40.1160409556314
2025-11-01,79.15151515151516
2025-12-01,101.08359133126936
