date,real estate listings
2009-08-01,91.20445062586927
2009-09-01,90.92992424242424
2009-10-01,96.89125295508275
2009-11-01,103.65856031128406
2009-12-01,101.97358554873894
2010-01-01,88.94314236111113
2010-02-01,82.60110960144928
2010-03-01,83.7155584528466
2010-04-01,78.60879629629629
2010-05-01,65.23306048203729
2010-06-01,63.982739665787165
2010-07-01,57.14339339339339
2010-08-01,53.20259619842374
2010-09-01,51.009469696969695
2010-10-01,52.079048463356976
2010-11-01,47.842412451361874
2010-12-01,53.08214042263123
2011-01-01,55.1447482638889
2011-02-01,51.973731884057976
2011-03-01,49.873098652759666
2011-04-01,47.88811728395061
2011-05-01,51.25454752160073
2011-06-01,51.36642480211083
2011-07-01,52.747747747747745
2011-08-01,52.252549837737604
2011-09-01,55.44507575757576
2011-10-01,47.23448581560284
2011-11-01,38.53972114137484
2011-12-01,41.90695296523518
2012-01-01,36.466688368055564
2012-02-01,39.908401268115945
2012-03-01,38.29541503694046
2012-04-01,38.85262345679012
2012-05-01,39.13983628922237
2012-06-01,36.04661389621812
2012-07-01,36.044294294294296
2012-08-01,33.251622624014836
2012-09-01,33.26704545454545
2012-10-01,33.91193853427896
2012-11-01,33.223897535667966
2012-12-01,32.12866394001364
2013-01-01,28.46180555555556
2013-02-01,28.77117300724638
2013-03-01,29.389504563233377
2013-04-01,28.91358024691358
2013-05-01,28.888926784902228
2013-06-01,27.936125769569045
2013-07-01,29.01126126126126
2013-08-01,28.50139082058415
2013-09-01,26.613636363636363
2013-10-01,25.43395390070922
2013-11-01,23.921206225680937
2013-12-01,20.95347648261759
2014-01-01,20.45692274305556
2014-02-01,19.490149456521742
2014-03-01,19.593003042155583
2014-04-01,19.878086419753085
2014-05-01,18.638017280582083
2014-06-01,18.924472295514516
2014-07-01,19.34084084084084
2014-08-01,17.100834492350486
2014-09-01,17.742424242424242
2014-10-01,16.95596926713948
2014-11-01,18.605382619974062
2014-12-01,16.76278118609407
2015-01-01,14.23090277777778
2015-02-01,14.849637681159422
2015-03-01,16.03063885267275
2015-04-01,15.360339506172838
2015-05-01,16.774215552523874
2015-06-01,15.319810905892702
2015-07-01,15.824324324324325
2015-08-01,16.15078813166435
2015-09-01,15.524621212121211
2015-10-01,15.744828605200945
2015-11-01,15.947470817120625
2015-12-01,15.365882753919566
2016-01-01,12.452039930555557
2016-02-01,13.921535326086957
2016-03-01,14.249456757931334
2016-04-01,14.45679012345679
2016-05-01,13.97851296043656
2016-06-01,13.517480211081796
2016-07-01,13.186936936936936
2016-08-01,12.350602688919796
2016-09-01,12.197916666666666
2016-10-01,13.322547281323878
2016-11-01,13.289559014267187
2016-12-01,15.365882753919566
2017-01-01,9.783745659722223
2017-02-01,11.137228260869566
2017-03-01,9.796501521077792
2017-04-01,10.842592592592592
2017-05-01,12.114711232378353
2017-06-01,10.813984168865437
2017-07-01,11.42867867867868
2017-08-01,10.450509967547521
2017-09-01,11.089015151515152
2017-10-01,12.111406619385344
2017-11-01,11.960603112840468
2017-12-01,12.572085889570554
2018-01-01,8.894314236111112
2018-02-01,9.281023550724639
2018-03-01,9.796501521077792
2018-04-01,9.939043209876543
2018-05-01,9.319008640291042
2018-06-01,9.912818821459984
2018-07-01,10.54954954954955
2018-08-01,10.450509967547521
2018-09-01,9.980113636363637
2018-10-01,9.689125295508275
2018-11-01,9.302691309987031
2018-12-01,9.778289025221541
2019-01-01,7.11545138888889
2019-02-01,8.352921195652176
2019-03-01,7.124728378965667
2019-04-01,8.131944444444445
2019-05-01,7.455206912232833
2019-06-01,7.2093227792436245
2019-07-01,7.912162162162162
2019-08-01,8.550417246175243
2019-09-01,9.980113636363637
2019-10-01,9.689125295508275
2019-11-01,9.302691309987031
2019-12-01,9.778289025221541
2020-01-01,7.11545138888889
2020-02-01,7.424818840579711
2020-03-01,6.234137331594958
2020-04-01,6.324845679012346
2020-05-01,8.387107776261937
2020-06-01,8.110488126649077
2020-07-01,8.79129129129129
2020-08-01,9.500463606861382
2020-09-01,9.980113636363637
2020-10-01,9.689125295508275
2020-11-01,9.302691309987031
2020-12-01,9.778289025221541
2021-01-01,7.11545138888889
2021-02-01,7.424818840579711
2021-03-01,7.124728378965667
2021-04-01,7.228395061728395
2021-05-01,8.387107776261937
2021-06-01,7.2093227792436245
2021-07-01,7.912162162162162
2021-08-01,8.550417246175243
