date,tourist attractions
2016-12-01,29.864176570458405
2017-01-01,29.527577937649877
2017-02-01,28.89290407358738
2017-03-01,27.704753722794962
2017-04-01,27.64142857142857
2017-05-01,26.99126534466478
2017-06-01,33.09318282425852
2017-07-01,35.29627006610009
2017-08-01,33.71166950596252
2017-09-01,28.674360980699003
2017-10-01,30.585394126738795
2017-11-01,28.78887070376432
2017-12-01,28.619835880022634
2018-01-01,28.47302158273381
2018-02-01,26.966710468681555
2018-03-01,26.025677739595267
2018-04-01,25.966190476190476
2018-05-01,24.91501416430595
2018-06-01,28.226538291279326
2018-07-01,30.10564211520302
2018-08-01,31.214508801817146
2018-09-01,26.380412102243085
2018-10-01,27.187017001545595
2018-11-01,26.389798145117293
2018-12-01,24.886813808715335
2019-01-01,23.200239808153476
2019-02-01,23.114323258869906
2019-03-01,23.507063764795724
2019-04-01,24.29095238095238
2019-05-01,24.222930437519672
2019-06-01,25.30655157149181
2019-07-01,26.991265344664775
2019-08-01,27.46876774559909
2019-09-01,29.821335419926964
2019-10-01,27.187017001545595
2019-11-01,26.389798145117293
2019-12-01,29.864176570458405
2020-01-01,29.527577937649877
2020-02-01,26.966710468681555
2020-03-01,15.111683848797252
2020-04-01,10.889047619047618
2020-05-01,12.457507082152976
2020-06-01,20.439907038512615
2020-07-01,20.76251180358829
2020-08-01,23.723026689381033
2020-09-01,27.527386541471046
2020-10-01,23.788639876352395
2020-11-01,17.9930441898527
2020-12-01,18.665110356536502
2021-01-01,18.982014388489205
2021-02-01,16.372645641699517
2021-03-01,18.469835815196642
2021-04-01,20.94047619047619
2021-05-01,18.68626062322946
2021-06-01,26.279880478087648
2021-07-01,26.991265344664775
2021-08-01,24.97160704145372
2021-09-01,20.645539906103284
2021-10-01,19.257470376094798
2021-11-01,17.9930441898527
2021-12-01,17.420769666100735
2022-01-01,16.872901678657072
2022-02-01,20.225032851511166
2022-03-01,19.30937380679649
2022-04-01,23.453333333333333
2022-05-01,22.146679257160844
2022-06-01,22.386564851704293
2022-07-01,23.876888574126532
2022-08-01,27.46876774559909
2022-09-01,25.233437663015124
2022-10-01,23.788639876352395
2022-11-01,21.59165302782324
2022-12-01,24.886813808715335
2023-01-01,22.145683453237407
2023-02-01,22.151226456416993
2023-03-01,20.148911798396334
2023-04-01,20.102857142857143
2023-05-01,20.762511803588293
2023-06-01,23.35989375830013
2023-07-01,22.838762983947117
2023-08-01,24.97160704145372
2023-09-01,26.380412102243085
2023-10-01,22.655847501287994
2023-11-01,21.59165302782324
2023-12-01,21.153791737408035
2024-01-01,20.036570743405274
2024-02-01,19.261936049058257
2024-03-01,17.630297823596795
2024-04-01,18.427619047619046
2024-05-01,17.30209316965691
2024-06-01,17.5199203187251
2024-07-01,17.648135033050046
2024-08-01,22.474446337308347
2024-09-01,21.79251434533124
2024-10-01,21.523055126223596
2024-11-01,20.392116748499728
2024-12-01,19.90945104697227
2025-01-01,20.036570743405274
2025-02-01,16.372645641699517
2025-03-01,17.630297823596795
2025-04-01,17.59
2025-05-01,17.30209316965691
2025-06-01,21.413235945108454
2025-07-01,36.334395656279504
2025-08-01,28.717348097671778
2025-09-01,22.939488784559202
2025-10-01,20.390262751159195
2025-11-01,23.99072558647027
2025-12-01,46.04060554612337
