date,travel blog
2013-09-01,15.830779054916986
2013-10-01,13.410689170182842
2013-11-01,14.328551912568305
2013-12-01,15.015748031496065
2014-01-01,14.945141065830722
2014-02-01,12.911979166666667
2014-03-01,11.54143389199255
2014-04-01,13.20375865479723
2014-05-01,12.823246878001921
2014-06-01,11.61792863359443
2014-07-01,12.447780678851174
2014-08-01,11.137017070979335
2014-09-01,14.613026819923371
2014-10-01,16.09282700421941
2014-11-01,13.025956284153004
2014-12-01,15.015748031496065
2015-01-01,13.948798328108673
2015-02-01,11.918750000000001
2015-03-01,12.429236499068901
2015-04-01,14.146884272997033
2015-05-01,14.655139289145053
2015-06-01,12.447780678851174
2015-07-01,12.447780678851174
2015-08-01,12.850404312668463
2015-09-01,17.0485312899106
2015-10-01,16.09282700421941
2015-11-01,14.328551912568305
2015-12-01,15.015748031496065
2016-01-01,14.945141065830722
2016-02-01,14.8984375
2016-03-01,14.204841713221601
2016-04-01,14.146884272997033
2016-05-01,13.739193083573488
2016-06-01,12.447780678851174
2016-07-01,12.447780678851174
2016-08-01,11.9937106918239
2016-09-01,14.613026819923371
2016-10-01,17.433895921237692
2016-11-01,15.631147540983605
2016-12-01,16.26706036745407
2017-01-01,15.941483803552769
2017-02-01,15.891666666666667
2017-03-01,15.9804469273743
2017-04-01,16.97626112759644
2017-05-01,15.571085494716618
2017-06-01,13.277632724107919
2017-07-01,13.277632724107919
2017-08-01,11.9937106918239
2017-09-01,15.830779054916986
2017-10-01,16.09282700421941
2017-11-01,16.933743169398905
2017-12-01,16.26706036745407
2018-01-01,15.941483803552769
2018-02-01,14.8984375
2018-03-01,13.31703910614525
2018-04-01,14.146884272997033
2018-05-01,14.655139289145053
2018-06-01,12.447780678851174
2018-07-01,13.277632724107919
2018-08-01,11.9937106918239
2018-09-01,15.830779054916986
2018-10-01,14.751758087201125
2018-11-01,15.631147540983605
2018-12-01,15.015748031496065
2019-01-01,14.945141065830722
2019-02-01,13.905208333333334
2019-03-01,12.429236499068901
2019-04-01,13.20375865479723
2019-05-01,11.907300672430356
2019-06-01,10.788076588337685
2019-07-01,10.788076588337685
2019-08-01,10.280323450134771
2019-09-01,14.613026819923371
2019-10-01,14.751758087201125
2019-11-01,13.025956284153004
2019-12-01,13.76443569553806
2020-01-01,14.945141065830722
2020-02-01,12.911979166666667
2020-03-01,7.1024208566108005
2020-04-01,6.601879327398615
2020-05-01,6.4116234390009605
2020-06-01,6.6388163620539595
2020-07-01,6.6388163620539595
2020-08-01,6.853548966756514
2020-09-01,9.742017879948914
2020-10-01,8.046413502109704
2020-11-01,7.8155737704918025
2020-12-01,8.759186351706038
2021-01-01,7.9707419017763845
2021-02-01,7.945833333333334
2021-03-01,8.8780260707635
2021-04-01,9.431256181998023
2021-05-01,9.159462055715657
2021-06-01,9.128372497824195
2021-07-01,8.29852045256745
2021-08-01,7.710242587601078
2021-09-01,12.177522349936144
2021-10-01,13.410689170182842
