date,honeymoon destinations
2018-05-01,42.08282051282051
2018-06-01,37.528125
2018-07-01,41.3843984962406
2018-08-01,42.28521126760564
2018-09-01,41.79466357308585
2018-10-01,38.44557625145518
2018-11-01,38.62967430639325
2018-12-01,40.600603070175445
2019-01-01,35.91373360938579
2019-02-01,35.550621669627
2019-03-01,36.23067514677104
2019-04-01,38.00316455696203
2019-05-01,39.00358974358974
2019-06-01,41.377163461538466
2019-07-01,39.503289473684205
2019-08-01,39.03250270855905
2019-09-01,40.63370069605569
2019-10-01,38.44557625145518
2019-11-01,38.62967430639325
2019-12-01,41.69791666666667
2020-01-01,34.53243616287095
2020-02-01,35.550621669627
2020-03-01,24.480185909980435
2020-04-01,20.057225738396628
2020-05-01,21.554615384615385
2020-06-01,28.867788461538463
2020-07-01,26.335526315789473
2020-08-01,26.021668472372703
2020-09-01,29.024071925754065
2020-10-01,30.29045401629802
2020-11-01,27.765078407720146
2020-12-01,35.1140350877193
2021-01-01,31.079192546583855
2021-02-01,32.884325044404974
2021-03-01,40.14750489236791
2021-04-01,42.22573839662448
2021-05-01,40.03
2021-06-01,42.33942307692308
2021-07-01,43.265507518796994
2021-08-01,41.20097508125678
2021-09-01,41.79466357308585
2021-10-01,44.27066356228172
2021-11-01,43.45838359469241
2021-12-01,40.600603070175445
2022-01-01,44.201518288474816
2022-02-01,49.7708703374778
2022-03-01,49.93957925636008
2022-04-01,45.392668776371316
2022-05-01,43.10923076923077
2022-06-01,39.45264423076923
2022-07-01,39.503289473684205
2022-08-01,41.20097508125678
2022-09-01,39.472737819025525
2022-10-01,36.11554132712456
2022-11-01,37.42249698431846
2022-12-01,38.405975877192986
2023-01-01,33.151138716356115
2023-02-01,35.550621669627
2023-03-01,36.23067514677104
2023-04-01,38.00316455696203
2023-05-01,33.871538461538464
2023-06-01,36.565865384615385
2023-07-01,32.91940789473684
2023-08-01,34.6955579631636
2023-09-01,37.1508120649652
2023-10-01,33.78550640279394
2023-11-01,35.00814234016888
2023-12-01,34.016721491228076
2024-01-01,28.31659765355418
2024-02-01,31.106793960923625
2024-03-01,31.334637964774956
2024-04-01,32.72494725738397
2024-05-01,29.765897435897436
2024-06-01,32.71682692307692
2024-07-01,29.15718984962406
2024-08-01,33.61132177681474
2024-09-01,33.66792343387471
2024-10-01,32.62048894062863
2024-11-01,33.80096501809409
2024-12-01,31.822094298245617
2025-01-01,28.31659765355418
2025-02-01,30.21802841918295
2025-03-01,30.355430528375738
2025-04-01,29.558016877637133
2025-05-01,27.713076923076922
2025-06-01,30.792307692307695
2025-07-01,31.038298872180448
2025-08-01,28.190140845070427
2025-09-01,27.8631090487239
2025-10-01,27.960419091967402
2025-11-01,32.593787696019305
2025-12-01,31.822094298245617
