date,camping trip
2009-11-01,28.6271436227224
2009-12-01,37.471465076660984
2010-01-01,41.89666666666667
2010-02-01,29.391794217687078
2010-03-01,36.751461988304094
2010-04-01,41.396063112745104
2010-05-01,42.275690095105546
2010-06-01,43.69437822804927
2010-07-01,44.08849468831429
2010-08-01,40.31626892481396
2010-09-01,34.57925097621583
2010-10-01,30.96476006855184
2010-11-01,43.78269024651661
2010-12-01,48.17759795570698
2011-01-01,41.89666666666667
2011-02-01,40.079719387755105
2011-03-01,42.156088751289985
2011-04-01,46.20955882352941
2011-05-01,43.73347251217815
2011-06-01,50.56063766388558
2011-07-01,50.38685107235919
2011-08-01,44.34789581729535
2011-09-01,46.8493077742279
2011-10-01,44.427699228791774
2011-11-01,38.730841371918544
2011-12-01,42.82453151618398
2012-01-01,40.45195402298851
2012-02-01,44.08769132653062
2012-03-01,45.39886480908152
2012-04-01,48.13495710784314
2012-05-01,48.10681976339597
2012-06-01,46.19119984108065
2012-07-01,44.71833032671878
2012-08-01,47.57319733128047
2012-09-01,41.27200922967696
2012-10-01,44.427699228791774
2012-11-01,42.098740621650585
2012-12-01,42.82453151618398
2013-01-01,41.89666666666667
2013-02-01,45.423681972789126
2013-03-01,44.317939456484346
2013-04-01,44.28416053921569
2013-05-01,51.022384597541176
2013-06-01,48.68802145411204
2013-07-01,50.38685107235919
2013-08-01,49.185848088273026
2013-09-01,42.38746893858715
2013-10-01,47.12028706083976
2013-11-01,48.83453912111468
2013-12-01,44.608886996024985
2014-01-01,52.009655172413794
2014-02-01,53.43962585034014
2014-03-01,51.8844169246646
2014-04-01,53.911151960784316
2014-05-01,53.20905822315008
2014-06-01,53.68166468017481
2014-07-01,56.0553718179996
2014-08-01,59.668078008724656
2014-09-01,51.31114660986865
2014-10-01,49.81287489288774
2014-11-01,50.518488745980704
2014-12-01,53.53066439522998
2015-01-01,62.12264367816092
2015-02-01,56.11160714285715
2015-03-01,63.77459580323357
2015-04-01,58.72464767156863
2015-05-01,61.226861517049414
2015-06-01,60.54792411601113
2015-07-01,62.35372820204449
2015-08-01,63.699704901206054
2015-09-01,63.58120340788072
2015-10-01,56.54434447300771
2015-11-01,52.20243837084673
2015-12-01,55.31501987507098
2016-01-01,56.34379310344828
2016-02-01,64.12755102040818
2016-03-01,67.01737186102511
2016-04-01,59.6873468137255
2016-05-01,62.684643934122015
2016-06-01,59.923718712753285
2016-07-01,57.31504309480858
2016-08-01,56.44277649473954
2016-09-01,58.00390486332978
2016-10-01,65.96840188517567
2016-11-01,55.570337620578776
2016-12-01,53.53066439522998
2017-01-01,62.12264367816092
2017-02-01,62.79156037414967
2017-03-01,61.61274509803921
2017-04-01,59.6873468137255
2017-05-01,55.39573184875899
2017-06-01,52.43325387365912
2017-07-01,56.685207456404086
2017-08-01,53.217474980754425
2017-09-01,51.31114660986865
2017-10-01,56.54434447300771
2017-11-01,52.20243837084673
2017-12-01,55.31501987507098
2018-01-01,57.788505747126436
2018-02-01,60.119579081632665
2018-03-01,59.45089439284485
2018-04-01,53.911151960784316
2018-05-01,52.480167014613784
2018-06-01,52.43325387365912
2018-07-01,54.79570054119062
2018-08-01,54.83012573774698
2018-09-01,55.772985445509406
2018-10-01,56.54434447300771
2018-11-01,55.570337620578776
2018-12-01,53.53066439522998
2019-01-01,57.788505747126436
2019-02-01,50.76764455782314
2019-03-01,49.72256621947024
2019-04-01,55.836550245098046
2019-05-01,50.29349338900487
2019-06-01,48.68802145411204
2019-07-01,50.38685107235919
2019-08-01,48.37952270977675
2019-09-01,53.54206602768903
2019-10-01,52.50546272493573
2019-11-01,48.83453912111468
2019-12-01,48.17759795570698
2020-01-01,54.89908045977012
2020-02-01,56.11160714285715
2020-03-01,38.91331269349845
2020-04-01,34.65716911764706
2020-05-01,48.835710971932265
2020-06-01,62.42054032578467
2020-07-01,58.57471437161756
2020-08-01,63.699704901206054
2020-09-01,66.92758253461129
2020-10-01,56.54434447300771
2020-11-01,53.88638799571275
2020-12-01,51.74630891538898
2021-01-01,54.89908045977012
2021-02-01,56.11160714285715
2021-03-01,52.965342277261776
2021-04-01,51.985753676470594
2021-05-01,47.377928554859665
2021-06-01,43.69437822804927
2021-07-01,42.19898777310082
2021-08-01,42.735245060302795
