date,UNRATE,unrate_mom_change,unrate_yoy_change
2012-03-01,8.2,-0.10000000000000142,-0.8000000000000007
2012-04-01,8.2,0.0,-0.9000000000000004
2012-05-01,8.2,0.0,-0.8000000000000007
2012-06-01,8.2,0.0,-0.9000000000000004
2012-07-01,8.2,0.0,-0.8000000000000007
2012-08-01,8.1,-0.09999999999999964,-0.9000000000000004
2012-09-01,7.8,-0.2999999999999998,-1.2000000000000002
2012-10-01,7.8,0.0,-1.0000000000000009
2012-11-01,7.7,-0.09999999999999964,-0.8999999999999995
2012-12-01,7.9,0.20000000000000018,-0.5999999999999996
2013-01-01,8.0,0.09999999999999964,-0.3000000000000007
2013-02-01,7.7,-0.2999999999999998,-0.6000000000000005
2013-03-01,7.5,-0.20000000000000018,-0.6999999999999993
2013-04-01,7.6,0.09999999999999964,-0.5999999999999996
2013-05-01,7.5,-0.09999999999999964,-0.6999999999999993
2013-06-01,7.5,0.0,-0.6999999999999993
2013-07-01,7.3,-0.20000000000000018,-0.8999999999999995
2013-08-01,7.2,-0.09999999999999964,-0.8999999999999995
2013-09-01,7.2,0.0,-0.5999999999999996
2013-10-01,7.2,0.0,-0.5999999999999996
2013-11-01,6.9,-0.2999999999999998,-0.7999999999999998
2013-12-01,6.7,-0.20000000000000018,-1.2000000000000002
2014-01-01,6.6,-0.10000000000000053,-1.4000000000000004
2014-02-01,6.7,0.10000000000000053,-1.0
2014-03-01,6.7,0.0,-0.7999999999999998
2014-04-01,6.2,-0.5,-1.3999999999999995
2014-05-01,6.3,0.09999999999999964,-1.2000000000000002
2014-06-01,6.1,-0.20000000000000018,-1.4000000000000004
2014-07-01,6.2,0.10000000000000053,-1.0999999999999996
2014-08-01,6.1,-0.10000000000000053,-1.1000000000000005
2014-09-01,5.9,-0.1999999999999993,-1.2999999999999998
2014-10-01,5.7,-0.20000000000000018,-1.5
2014-11-01,5.8,0.09999999999999964,-1.1000000000000005
2014-12-01,5.6,-0.20000000000000018,-1.1000000000000005
2015-01-01,5.7,0.10000000000000053,-0.8999999999999995
2015-02-01,5.5,-0.20000000000000018,-1.2000000000000002
2015-03-01,5.4,-0.09999999999999964,-1.2999999999999998
2015-04-01,5.4,0.0,-0.7999999999999998
2015-05-01,5.6,0.1999999999999993,-0.7000000000000002
2015-06-01,5.3,-0.2999999999999998,-0.7999999999999998
2015-07-01,5.2,-0.09999999999999964,-1.0
2015-08-01,5.1,-0.10000000000000053,-1.0
2015-09-01,5.0,-0.09999999999999964,-0.9000000000000004
2015-10-01,5.0,0.0,-0.7000000000000002
2015-11-01,5.1,0.09999999999999964,-0.7000000000000002
2015-12-01,5.0,-0.09999999999999964,-0.5999999999999996
2016-01-01,4.8,-0.20000000000000018,-0.9000000000000004
2016-02-01,4.9,0.10000000000000053,-0.5999999999999996
2016-03-01,5.0,0.09999999999999964,-0.40000000000000036
2016-04-01,5.1,0.09999999999999964,-0.3000000000000007
2016-05-01,4.8,-0.2999999999999998,-0.7999999999999998
2016-06-01,4.9,0.10000000000000053,-0.39999999999999947
2016-07-01,4.8,-0.10000000000000053,-0.40000000000000036
2016-08-01,4.9,0.10000000000000053,-0.1999999999999993
2016-09-01,5.0,0.09999999999999964,0.0
2016-10-01,4.9,-0.09999999999999964,-0.09999999999999964
2016-11-01,4.7,-0.20000000000000018,-0.39999999999999947
2016-12-01,4.7,0.0,-0.2999999999999998
2017-01-01,4.7,0.0,-0.09999999999999964
2017-02-01,4.6,-0.10000000000000053,-0.3000000000000007
2017-03-01,4.4,-0.1999999999999993,-0.5999999999999996
2017-04-01,4.4,0.0,-0.6999999999999993
2017-05-01,4.4,0.0,-0.39999999999999947
2017-06-01,4.3,-0.10000000000000053,-0.6000000000000005
2017-07-01,4.3,0.0,-0.5
2017-08-01,4.4,0.10000000000000053,-0.5
2017-09-01,4.3,-0.10000000000000053,-0.7000000000000002
2017-10-01,4.2,-0.09999999999999964,-0.7000000000000002
2017-11-01,4.2,0.0,-0.5
2017-12-01,4.1,-0.10000000000000053,-0.6000000000000005
2018-01-01,4.0,-0.09999999999999964,-0.7000000000000002
2018-02-01,4.1,0.09999999999999964,-0.5
2018-03-01,4.0,-0.09999999999999964,-0.40000000000000036
2018-04-01,4.0,0.0,-0.40000000000000036
2018-05-01,3.8,-0.20000000000000018,-0.6000000000000005
2018-06-01,4.0,0.20000000000000018,-0.2999999999999998
2018-07-01,3.8,-0.20000000000000018,-0.5
2018-08-01,3.8,0.0,-0.6000000000000005
2018-09-01,3.7,-0.09999999999999964,-0.5999999999999996
2018-10-01,3.8,0.09999999999999964,-0.40000000000000036
2018-11-01,3.8,0.0,-0.40000000000000036
2018-12-01,3.9,0.10000000000000009,-0.19999999999999973
2019-01-01,4.0,0.10000000000000009,0.0
2019-02-01,3.8,-0.20000000000000018,-0.2999999999999998
2019-03-01,3.8,0.0,-0.20000000000000018
2019-04-01,3.7,-0.09999999999999964,-0.2999999999999998
2019-05-01,3.6,-0.10000000000000009,-0.19999999999999973
2019-06-01,3.6,0.0,-0.3999999999999999
2019-07-01,3.7,0.10000000000000009,-0.09999999999999964
2019-08-01,3.6,-0.10000000000000009,-0.19999999999999973
2019-09-01,3.5,-0.10000000000000009,-0.20000000000000018
2019-10-01,3.6,0.10000000000000009,-0.19999999999999973
2019-11-01,3.6,0.0,-0.19999999999999973
2019-12-01,3.6,0.0,-0.2999999999999998
2020-01-01,3.6,0.0,-0.3999999999999999
2020-02-01,3.5,-0.10000000000000009,-0.2999999999999998
2020-03-01,4.4,0.9000000000000004,0.6000000000000005
2020-04-01,14.8,10.4,11.100000000000001
2020-05-01,13.2,-1.6000000000000014,9.6
2020-06-01,11.0,-2.1999999999999993,7.4
2020-07-01,10.2,-0.8000000000000007,6.499999999999999
2020-08-01,8.4,-1.799999999999999,4.800000000000001
2020-09-01,7.8,-0.6000000000000005,4.3
2020-10-01,6.9,-0.8999999999999995,3.3000000000000003
2020-11-01,6.7,-0.20000000000000018,3.1
2020-12-01,6.7,0.0,3.1
2021-01-01,6.4,-0.2999999999999998,2.8000000000000003
2021-02-01,6.2,-0.20000000000000018,2.7
2021-03-01,6.1,-0.10000000000000053,1.6999999999999993
2021-04-01,6.1,0.0,-8.700000000000001
2021-05-01,5.8,-0.2999999999999998,-7.3999999999999995
2021-06-01,5.9,0.10000000000000053,-5.1
2021-07-01,5.4,-0.5,-4.799999999999999
2021-08-01,5.1,-0.3000000000000007,-3.3000000000000007
2021-09-01,4.7,-0.39999999999999947,-3.0999999999999996
2021-10-01,4.5,-0.20000000000000018,-2.4000000000000004
2021-11-01,4.1,-0.40000000000000036,-2.6000000000000005
2021-12-01,3.9,-0.19999999999999973,-2.8000000000000003
2022-01-01,4.0,0.10000000000000009,-2.4000000000000004
2022-02-01,3.9,-0.10000000000000009,-2.3000000000000003
2022-03-01,3.7,-0.19999999999999973,-2.3999999999999995
2022-04-01,3.7,0.0,-2.3999999999999995
2022-05-01,3.6,-0.10000000000000009,-2.1999999999999997
2022-06-01,3.6,0.0,-2.3000000000000003
2022-07-01,3.5,-0.10000000000000009,-1.9000000000000004
2022-08-01,3.6,0.10000000000000009,-1.4999999999999996
2022-09-01,3.5,-0.10000000000000009,-1.2000000000000002
2022-10-01,3.6,0.10000000000000009,-0.8999999999999999
2022-11-01,3.6,0.0,-0.49999999999999956
2022-12-01,3.5,-0.10000000000000009,-0.3999999999999999
2023-01-01,3.5,0.0,-0.5
2023-02-01,3.6,0.10000000000000009,-0.2999999999999998
2023-03-01,3.5,-0.10000000000000009,-0.20000000000000018
2023-04-01,3.4,-0.10000000000000009,-0.30000000000000027
2023-05-01,3.6,0.20000000000000018,0.0
2023-06-01,3.6,0.0,0.0
2023-07-01,3.5,-0.10000000000000009,0.0
2023-08-01,3.7,0.20000000000000018,0.10000000000000009
2023-09-01,3.7,0.0,0.20000000000000018
2023-10-01,3.9,0.19999999999999973,0.2999999999999998
2023-11-01,3.7,-0.19999999999999973,0.10000000000000009
2023-12-01,3.8,0.09999999999999964,0.2999999999999998
2024-01-01,3.7,-0.09999999999999964,0.20000000000000018
2024-02-01,3.9,0.19999999999999973,0.2999999999999998
2024-03-01,3.9,0.0,0.3999999999999999
2024-04-01,3.9,0.0,0.5
2024-05-01,3.9,0.0,0.2999999999999998
2024-06-01,4.1,0.19999999999999973,0.49999999999999956
2024-07-01,4.2,0.10000000000000053,0.7000000000000002
2024-08-01,4.2,0.0,0.5
2024-09-01,4.1,-0.10000000000000053,0.39999999999999947
2024-10-01,4.1,0.0,0.19999999999999973
2024-11-01,4.2,0.10000000000000053,0.5
2024-12-01,4.1,-0.10000000000000053,0.2999999999999998
2025-01-01,4.0,-0.09999999999999964,0.2999999999999998
2025-02-01,4.2,0.20000000000000018,0.30000000000000027
2025-03-01,4.2,0.0,0.30000000000000027
2025-04-01,4.2,0.0,0.30000000000000027
2025-05-01,4.3,0.09999999999999964,0.3999999999999999
2025-06-01,4.1,-0.20000000000000018,0.0
2025-07-01,4.3,0.20000000000000018,0.09999999999999964
2025-08-01,4.3,0.0,0.09999999999999964
2025-09-01,4.4,0.10000000000000053,0.3000000000000007
2025-11-01,4.5,,0.2999999999999998
2025-12-01,4.4,-0.09999999999999964,0.3000000000000007
