date,minimum payment
2010-05-01,14.499591503267975
2010-06-01,16.372232472324722
2010-07-01,14.428861788617887
2010-08-01,15.252608962553712
2010-09-01,12.520282186948855
2010-10-01,13.48887079261672
2010-11-01,12.111154855643045
2010-12-01,10.247900262467192
2011-01-01,15.29956896551724
2011-02-01,15.459494773519165
2011-03-01,16.180056980056982
2011-04-01,15.763192267502612
2011-05-01,14.499591503267975
2011-06-01,17.46371463714637
2011-07-01,16.490127758420442
2011-08-01,17.431553100061386
2011-09-01,16.693709582598473
2011-10-01,15.415852334419109
2011-11-01,14.906036745406825
2011-12-01,13.042782152230972
2012-01-01,16.319540229885057
2012-02-01,16.490127758420442
2012-03-01,16.180056980056982
2012-04-01,16.690438871473354
2012-05-01,15.466230936819173
2012-06-01,18.55519680196802
2012-07-01,16.490127758420442
2012-08-01,19.61049723756906
2012-09-01,16.693709582598473
2012-10-01,16.379343105320302
2012-11-01,15.837664041994751
2012-12-01,13.974409448818898
2013-01-01,19.379454022988504
2013-02-01,18.551393728222997
2013-03-01,20.225071225071225
2013-04-01,20.399425287356323
2013-05-01,19.332788671023966
2013-06-01,19.64667896678967
2013-07-01,19.582026713124275
2013-08-01,20.699969306322895
2013-09-01,19.823780129335688
2013-10-01,19.269815418023885
2013-11-01,17.700918635170606
2013-12-01,17.700918635170606
2014-01-01,21.419396551724137
2014-02-01,21.64329268292683
2014-03-01,21.23632478632479
2014-04-01,24.108411703239288
2014-05-01,22.232706971677562
2014-06-01,24.01260762607626
2014-07-01,23.704558652729386
2014-08-01,21.789441375076734
2014-09-01,21.910493827160494
2014-10-01,20.23330618892508
2014-11-01,19.56417322834646
2014-12-01,20.495800524934385
2015-01-01,23.45933908045977
2015-02-01,22.673925667828108
2015-03-01,24.270085470085473
2015-04-01,25.03565830721003
2015-05-01,24.165985838779957
2015-06-01,26.195571955719558
2015-07-01,22.673925667828108
2015-08-01,25.057857581338244
2015-09-01,23.997207524985306
2015-10-01,24.087269272529856
2015-11-01,23.290682414698164
2015-12-01,24.22230971128609
2016-01-01,25.4992816091954
2016-02-01,27.827090592334496
2016-03-01,28.31509971509972
2016-04-01,28.744644723093
2016-05-01,29.96582244008715
2016-06-01,26.195571955719558
2016-07-01,23.704558652729386
2016-08-01,25.057857581338244
2016-09-01,25.04056437389771
2016-10-01,26.014250814332247
2016-11-01,26.085564304461943
2016-12-01,26.085564304461943
2017-01-01,30.59913793103448
2017-02-01,32.980255516840884
2017-03-01,31.348860398860403
2017-04-01,31.526384535005224
2017-05-01,31.899101307189543
2017-06-01,28.378536285362852
2017-07-01,26.79645760743322
2017-08-01,29.41574585635359
2017-09-01,29.213991769547327
2017-10-01,28.90472312703583
2017-11-01,30.743700787401576
2017-12-01,27.948818897637796
2018-01-01,30.59913793103448
2018-02-01,31.949622531939607
2018-03-01,34.382621082621085
2018-04-01,34.30812434691745
2018-05-01,34.799019607843135
2018-06-01,30.56150061500615
2018-07-01,28.857723577235774
2018-08-01,29.41574585635359
2018-09-01,32.34406231628454
2018-10-01,32.758686210640604
2018-11-01,34.470209973753285
2018-12-01,30.743700787401576
2019-01-01,35.69899425287356
2019-02-01,36.07215447154472
2019-03-01,35.393874643874646
2019-04-01,34.30812434691745
2019-05-01,35.765659041394336
2019-06-01,32.744464944649444
2019-07-01,30.91898954703833
2019-08-01,32.6841620626151
2019-09-01,33.387419165196945
2019-10-01,32.758686210640604
2019-11-01,29.81207349081365
2019-12-01,29.81207349081365
2020-01-01,35.69899425287356
2020-02-01,38.13342044134727
2020-03-01,33.371367521367524
2020-04-01,31.526384535005224
2020-05-01,32.86574074074074
2020-06-01,32.744464944649444
2020-07-01,29.88835656213705
2020-08-01,27.236801718845914
2020-09-01,30.25734861845973
2020-10-01,29.86821389793702
2020-11-01,25.153937007874017
2020-12-01,27.948818897637796
2021-01-01,31.6191091954023
2021-02-01,31.949622531939607
2021-03-01,32.360113960113964
2021-04-01,29.67189132706374
2021-05-01,31.899101307189543
2021-06-01,31.6529827798278
2021-07-01,28.857723577235774
2021-08-01,29.41574585635359
2021-09-01,31.300705467372136
2021-10-01,31.795195439739413
2021-11-01,29.81207349081365
2021-12-01,28.880446194225723
2022-01-01,38.75890804597701
2022-02-01,44.31721835075494
2022-03-01,43.48390313390314
2022-04-01,45.43508359456635
2022-05-01,42.53213507625273
2022-06-01,39.29335793357934
2022-07-01,40.19468641114983
2022-08-01,40.310466543891955
2022-09-01,41.73427395649618
2022-10-01,41.43010314875136
2022-11-01,44.718110236220475
2022-12-01,37.265091863517064
2023-01-01,39.77887931034483
2023-02-01,49.47038327526133
2023-03-01,47.528917378917384
2023-04-01,46.362330198537094
2023-05-01,47.36533224400872
2023-06-01,44.750768757687574
2023-07-01,45.347851335656216
2023-08-01,47.93677102516881
2023-09-01,47.99441504997061
2023-10-01,48.17453854505971
2023-11-01,51.23950131233596
2023-12-01,46.58136482939633
2024-01-01,47.93864942528735
2024-02-01,58.74608013937282
2024-03-01,54.60769230769231
2024-04-01,59.34378265412748
2024-05-01,53.165168845315904
2024-06-01,54.574108241082406
2024-07-01,48.43975029036005
2024-08-01,46.847298956414974
2024-09-01,49.037771898883015
2024-10-01,51.0650108577633
2024-11-01,51.23950131233596
2024-12-01,49.37624671916011
2025-01-01,50.9985632183908
2025-02-01,58.74608013937282
2025-03-01,58.65270655270656
2025-04-01,60.271029258098224
2025-05-01,51.23188997821351
2025-06-01,58.940036900369
2025-07-01,72.14430894308944
2025-08-01,61.01043585021485
2025-09-01,64.68812463256909
2025-10-01,70.33482627578718
2025-11-01,78.25669291338583
2025-12-01,93.16272965879266
