date,debt consolidation
2023-07-01,49.35867117117117
2023-08-01,44.855774853801165
2023-09-01,44.65565891472868
2023-10-01,44.98204022988506
2023-11-01,45.27716049382716
2023-12-01,47.98084291187739
2024-01-01,40.13782051282052
2024-02-01,40.84054239615517
2024-03-01,39.36043153244988
2024-04-01,41.420054856405294
2024-05-01,40.3317230273752
2024-06-01,38.91941312518069
2024-07-01,37.01900337837838
2024-08-01,38.44780701754386
2024-09-01,41.74333333333333
2024-10-01,49.98004469987229
2024-11-01,38.651234567901234
2024-12-01,40.78371647509578
2025-01-01,41.09348290598291
2025-02-01,40.84054239615517
2025-03-01,40.42422697927285
2025-04-01,41.420054856405294
2025-05-01,42.34830917874396
2025-06-01,43.44492627927147
2025-07-01,48.477266328828826
2025-08-01,48.51747076023391
2025-09-01,51.45108527131783
2025-10-01,49.98004469987229
2025-11-01,50.79876543209876
2025-12-01,49.18036398467432
