date,interest rate
2018-07-01,37.55254237288136
2018-08-01,38.0918284789644
2018-09-01,40.01039464411557
2018-10-01,46.64421052631579
2018-11-01,41.86928466076696
2018-12-01,43.25695238095238
2019-01-01,42.59131103421761
2019-02-01,41.44829931972789
2019-03-01,39.86804222648752
2019-04-01,42.16601878846777
2019-05-01,40.44541803577948
2019-06-01,40.6492854383932
2019-07-01,42.76817325800377
2019-08-01,48.174959546925564
2019-09-01,46.8414376321353
2019-10-01,46.64421052631579
2019-11-01,40.8480825958702
2019-12-01,36.92666666666666
2020-01-01,43.65609381007305
2020-02-01,47.10034013605442
2020-03-01,69.99056301983364
2020-04-01,49.343213475866534
2020-05-01,48.534501642935375
2020-06-01,47.067593665507914
2020-07-01,46.940677966101696
2020-08-01,42.57322006472492
2020-09-01,46.8414376321353
2020-10-01,46.64421052631579
2020-11-01,40.8480825958702
2020-12-01,37.98171428571428
2021-01-01,41.52652825836217
2021-02-01,43.332312925170065
2021-03-01,42.52591170825335
2021-04-01,42.16601878846777
2021-05-01,42.467688937568454
2021-06-01,37.440131324835846
2021-07-01,32.33691148775895
2021-08-01,35.85113268608414
2021-09-01,36.1069415081043
2021-10-01,39.841929824561404
2021-11-01,40.8480825958702
2021-12-01,39.0367619047619
2022-01-01,50.04479046520569
2022-02-01,54.636394557823124
2022-03-01,60.24504158669225
2022-04-01,66.38905085843861
2022-05-01,69.7683461117196
2022-06-01,69.53167246040942
2022-07-01,66.76007532956686
2022-08-01,57.1377427184466
2022-09-01,67.3345665961945
2022-10-01,70.9380701754386
2022-11-01,73.52654867256636
2022-12-01,68.57809523809523
2023-01-01,67.08131487889274
2023-02-01,74.41853741496598
2023-03-01,77.0782149712092
2023-04-01,69.977648202138
2023-05-01,70.7794815626141
2023-06-01,64.18308227114716
2023-07-01,66.76007532956686
2023-08-01,66.10052588996764
2023-09-01,66.35870331219168
2023-10-01,69.96631578947368
2023-11-01,72.50534660766961
2023-12-01,70.68819047619047
2024-01-01,69.21088043060361
2024-02-01,75.36054421768708
2024-03-01,68.21865003198975
2024-04-01,72.66909620991254
2024-05-01,62.690397955458195
2024-06-01,63.11336423329471
2024-07-01,59.458192090395485
2024-08-01,76.1836569579288
2024-09-01,86.85183227625087
2024-10-01,68.99456140350877
2024-11-01,72.50534660766961
2024-12-01,67.52304761904762
2025-01-01,74.53479430988082
2025-02-01,73.4765306122449
2025-03-01,69.1046065259117
2025-04-01,75.36054421768708
2025-05-01,62.690397955458195
2025-06-01,64.18308227114716
2025-07-01,104.31261770244822
2025-08-01,84.0260922330097
2025-09-01,87.8276955602537
2025-10-01,78.7121052631579
2025-11-01,87.82337758112094
2025-12-01,105.5047619047619
