date,cash advance
2012-07-01,49.837209302325576
2012-08-01,48.82784810126582
2012-09-01,50.47955555555556
2012-10-01,48.971663619744064
2012-11-01,49.45384615384615
2012-12-01,49.27466555183946
2013-01-01,51.66345226615236
2013-02-01,48.34679958027282
2013-03-01,49.04753521126761
2013-04-01,49.99575821845174
2013-05-01,50.72801932367149
2013-06-01,50.300708591674045
2013-07-01,50.727159468438536
2013-08-01,57.870042194092825
2013-09-01,50.47955555555556
2013-10-01,50.93053016453382
2013-11-01,51.39321266968326
2013-12-01,54.65008361204013
2014-01-01,50.630183220829316
2014-02-01,47.22245540398741
2014-03-01,47.78990610328639
2014-04-01,52.26829268292682
2014-05-01,51.763285024154584
2014-06-01,50.300708591674045
2014-07-01,50.727159468438536
2014-08-01,48.82784810126582
2014-09-01,46.669777777777774
2014-10-01,47.0127970749543
2014-11-01,44.605429864253395
2014-12-01,46.586956521739125
2015-01-01,47.53037608486018
2015-02-01,40.476390346274925
2015-03-01,45.274647887323944
2015-04-01,45.45068928950158
2015-05-01,49.692753623188395
2015-06-01,45.55535872453498
2015-07-01,47.16735880398671
2015-08-01,47.01940928270042
2015-09-01,47.62222222222222
2015-10-01,46.033363802559414
2015-11-01,44.605429864253395
2015-12-01,44.79515050167224
2016-01-01,53.72999035679846
2016-02-01,59.59024134312697
2016-03-01,51.56279342723005
2016-04-01,54.5408271474019
2016-05-01,53.833816425120766
2016-06-01,53.147918511957485
2016-07-01,54.286960132890364
2016-08-01,48.82784810126582
2016-09-01,52.38444444444444
2016-10-01,50.93053016453382
2016-11-01,51.39321266968326
2016-12-01,46.586956521739125
2017-01-01,51.66345226615236
2017-02-01,56.21720881427073
2017-03-01,55.33568075117371
2017-04-01,56.81336161187698
2017-05-01,52.79855072463767
2017-06-01,53.147918511957485
2017-07-01,51.61710963455149
2017-08-01,53.34894514767932
2017-09-01,52.38444444444444
2017-10-01,51.909963436928706
2017-11-01,49.45384615384615
2017-12-01,47.48285953177257
2018-01-01,55.79652844744456
2018-02-01,56.21720881427073
2018-03-01,52.82042253521127
2018-04-01,47.72322375397666
2018-05-01,50.72801932367149
2018-06-01,51.249778565101856
2018-07-01,49.837209302325576
2018-08-01,49.732067510548525
2018-09-01,53.336888888888886
2018-10-01,50.93053016453382
2018-11-01,53.33257918552036
2018-12-01,51.06647157190635
2019-01-01,56.829797492767604
2019-02-01,58.46589716684156
2019-03-01,56.593309859154935
2019-04-01,55.67709437963944
2019-05-01,55.90434782608695
2019-06-01,54.096988485385296
2019-07-01,55.17691029900332
2019-08-01,55.15738396624472
2019-09-01,53.336888888888886
2019-10-01,52.889396709323584
2019-11-01,52.36289592760181
2019-12-01,54.65008361204013
2020-01-01,65.09594985535198
2020-02-01,61.8389296956978
2020-03-01,50.30516431924883
2020-04-01,32.95174973488865
2020-05-01,26.916908212560383
2020-06-01,30.37023914968999
2020-07-01,32.9281561461794
2020-08-01,33.45611814345992
2020-09-01,38.09777777777778
2020-10-01,43.09506398537477
2020-11-01,40.72669683257919
2020-12-01,41.21153846153846
2021-01-01,40.29749276759885
2021-02-01,50.59548793284365
2021-03-01,41.50176056338029
2021-04-01,40.905620360551424
2021-05-01,46.586956521739125
2021-06-01,47.45349867139061
2021-07-01,44.497508305647834
2021-08-01,45.210970464135016
2021-09-01,46.669777777777774
2021-10-01,50.93053016453382
2021-11-01,63.029411764705884
2021-12-01,59.12959866220735
2022-01-01,76.4619093539055
2022-02-01,71.95802728226653
2022-03-01,66.6543427230047
2022-04-01,63.630965005302215
2022-05-01,61.080676328502406
2022-06-01,61.68954827280779
2022-07-01,61.40656146179401
2022-08-01,62.39113924050633
2022-09-01,60.95644444444444
2022-10-01,61.70429616087752
2022-11-01,57.21131221719457
2022-12-01,55.54598662207358
2023-01-01,63.029411764705884
2023-02-01,89.94753410283316
2023-03-01,79.23063380281691
2023-04-01,73.85737009544007
2023-05-01,69.36280193236713
2023-06-01,67.38396811337466
2023-07-01,64.07641196013289
2023-08-01,60.58270042194093
2023-09-01,66.67111111111112
2023-10-01,66.60146252285192
2023-11-01,62.05972850678733
2023-12-01,59.12959866220735
2024-01-01,65.09594985535198
2024-02-01,69.7093389296957
2024-03-01,66.6543427230047
2024-04-01,70.44856839872745
2024-05-01,71.43333333333332
2024-06-01,66.43489813994685
2024-07-01,62.29651162790697
2024-08-01,65.10379746835443
2024-09-01,70.48088888888888
2024-10-01,65.62202925045705
2024-11-01,64.96877828054299
2024-12-01,60.92140468227424
2025-01-01,72.32883317261332
2025-02-01,77.5797481636936
2025-03-01,75.45774647887325
2025-04-01,79.53870625662776
2025-05-01,75.57439613526569
2025-06-01,76.87466784765279
2025-07-01,84.54526578073089
2025-08-01,82.28396624472573
2025-09-01,80.00533333333333
2025-10-01,87.16956124314443
2025-11-01,91.1502262443439
2025-12-01,89.59030100334448
