date,new car prices
2018-10-01,9.331742243436754
2018-11-01,9.200000000000001
2018-12-01,7.602777777777777
2019-01-01,7.712031558185403
2019-02-01,7.898989898989899
2019-03-01,7.461832061068702
2019-04-01,7.727272727272727
2019-05-01,7.607003891050583
2019-06-01,7.562862669245647
2019-07-01,6.359200743494424
2019-08-01,6.541586998087953
2019-09-01,7.653803131991052
2019-10-01,8.16527446300716
2019-11-01,8.05
2019-12-01,7.602777777777777
2020-01-01,6.748027613412228
2020-02-01,6.911616161616162
2020-03-01,7.461832061068702
2020-04-01,8.693181818181817
2020-05-01,7.607003891050583
2020-06-01,7.562862669245647
2020-07-01,7.267657992565056
2020-08-01,6.541586998087953
2020-09-01,8.747203579418345
2020-10-01,8.16527446300716
2020-11-01,6.9
2020-12-01,7.602777777777777
2021-01-01,6.748027613412228
2021-02-01,6.911616161616162
2021-03-01,7.461832061068702
2021-04-01,7.727272727272727
2021-05-01,9.508754863813229
2021-06-01,10.398936170212766
2021-07-01,12.718401486988848
2021-08-01,10.27963671128107
2021-09-01,12.027404921700224
2021-10-01,12.831145584725537
2021-11-01,12.650000000000002
