date,entertainment cost
2016-04-01,14.903333333333332
2016-05-01,15.81954887218045
2016-06-01,16.576969696969698
2016-07-01,16.364444444444445
2016-08-01,13.164960182025027
2016-09-01,13.90745986779981
2016-10-01,14.73389355742297
2016-11-01,12.304093567251462
2016-12-01,13.12655971479501
2017-01-01,15.585185185185185
2017-02-01,19.127272727272725
2017-03-01,16.19927536231884
2017-04-01,18.41
2017-05-01,16.698412698412696
2017-06-01,16.576969696969698
2017-07-01,15.195555555555556
2017-08-01,15.558589306029578
2017-09-01,13.90745986779981
2017-10-01,17.680672268907564
2017-11-01,14.940685045948204
2017-12-01,14.064171122994653
2018-01-01,15.585185185185185
2018-02-01,18.064646464646465
2018-03-01,18.105072463768117
2018-04-01,15.78
2018-05-01,18.45614035087719
2018-06-01,17.85212121212121
2018-07-01,16.364444444444445
2018-08-01,16.755403868031852
2018-09-01,15.894239848914069
2018-10-01,17.680672268907564
2018-11-01,15.81954887218045
2018-12-01,14.064171122994653
2019-01-01,16.55925925925926
2019-02-01,19.127272727272725
2019-03-01,17.152173913043477
2019-04-01,15.78
2019-05-01,18.45614035087719
2019-06-01,16.576969696969698
2019-07-01,14.026666666666667
2019-08-01,14.361774744027302
2019-09-01,16.8876298394712
2019-10-01,22.591970121381888
2019-11-01,19.33500417710944
2019-12-01,15.93939393939394
2020-01-01,16.55925925925926
2020-02-01,18.064646464646465
2020-03-01,12.38768115942029
2020-04-01,11.396666666666667
2020-05-01,10.546365914786968
2020-06-01,14.026666666666667
2020-07-01,11.688888888888888
2020-08-01,11.968145620022753
2020-09-01,13.90745986779981
2020-10-01,12.76937441643324
2020-11-01,9.66750208855472
2020-12-01,8.438502673796792
2021-01-01,10.714814814814815
2021-02-01,12.75151515151515
2021-03-01,13.340579710144928
2021-04-01,10.52
2021-05-01,12.304093567251462
2021-06-01,14.026666666666667
2021-07-01,12.857777777777777
2021-08-01,11.968145620022753
2021-09-01,13.90745986779981
2021-10-01,12.76937441643324
2021-11-01,12.304093567251462
2021-12-01,11.251336898395722
2022-01-01,16.55925925925926
2022-02-01,22.315151515151513
2022-03-01,20.01086956521739
2022-04-01,21.916666666666664
2022-05-01,25.48705096073517
2022-06-01,21.677575757575756
2022-07-01,16.364444444444445
2022-08-01,19.149032992036403
2022-09-01,18.874409820585456
2022-10-01,18.66293183940243
2022-11-01,14.061821219715956
2022-12-01,15.93939393939394
2023-01-01,18.507407407407406
2023-02-01,24.44040404040404
2023-03-01,20.96376811594203
2023-04-01,19.286666666666665
2023-05-01,21.092731829573935
2023-06-01,21.677575757575756
2023-07-01,16.364444444444445
2023-08-01,20.345847554038677
2023-09-01,20.861189801699716
2023-10-01,21.609710550887023
2023-11-01,19.33500417710944
2023-12-01,18.75222816399287
2024-01-01,21.42962962962963
2024-02-01,27.628282828282828
2024-03-01,22.869565217391305
2024-04-01,23.669999999999998
2024-05-01,23.729323308270676
2024-06-01,19.12727272727273
2024-07-01,16.364444444444445
2024-08-01,20.345847554038677
2024-09-01,20.861189801699716
2024-10-01,23.574229691876752
2024-11-01,18.45614035087719
2024-12-01,19.689839572192515
2025-01-01,25.325925925925926
2025-02-01,27.628282828282828
2025-03-01,25.72826086956522
2025-04-01,24.546666666666663
2025-05-01,29.00250626566416
2025-06-01,39.52969696969697
2025-07-01,73.64
2025-08-01,59.84072810011376
2025-09-01,51.65627950897073
2025-10-01,49.112978524743234
2025-11-01,70.30910609857978
2025-12-01,93.76114081996435
