date,used car prices
2011-07-01,15.845617529880478
2011-08-01,16.018301350390903
2011-09-01,14.980225988700564
2011-10-01,15.198192239858903
2011-11-01,14.41032608695652
2011-12-01,15.91389658356417
2012-01-01,12.120077355836848
2012-02-01,12.880979073243648
2012-03-01,12.094561403508772
2012-04-01,12.30174875089222
2012-05-01,11.355460385438972
2012-06-01,10.979296066252587
2012-07-01,10.563745019920319
2012-08-01,10.364783226723526
2012-09-01,11.770177562550442
2012-10-01,12.860008818342148
2012-11-01,12.008605072463768
2012-12-01,13.465604801477376
2013-01-01,12.120077355836848
2013-02-01,10.899289985052317
2013-03-01,11.16421052631579
2013-04-01,11.355460385438972
2013-05-01,11.355460385438972
2013-06-01,11.89423740510697
2013-07-01,9.683432934926959
2013-08-01,11.307036247334755
2013-09-01,11.770177562550442
2013-10-01,15.198192239858903
2013-11-01,15.611186594202897
2013-12-01,13.465604801477376
2014-01-01,12.120077355836848
2014-02-01,11.890134529147982
2014-03-01,12.094561403508772
2014-04-01,9.462883654532476
2014-05-01,10.409172019985725
2014-06-01,10.979296066252587
2014-07-01,11.444057104913679
2014-08-01,10.364783226723526
2014-09-01,10.700161420500402
2014-10-01,11.690917107583772
2014-11-01,10.80774456521739
2014-12-01,12.241458910433977
2015-01-01,11.187763713080168
2015-02-01,9.908445440956651
2015-03-01,9.303508771929824
2015-04-01,9.462883654532476
2015-05-01,9.462883654532476
2015-06-01,10.979296066252587
2015-07-01,8.803120849933599
2015-08-01,10.364783226723526
2015-09-01,9.630145278450362
2015-10-01,10.521825396825394
2015-11-01,10.80774456521739
2015-12-01,9.793167128347182
2016-01-01,7.458509142053445
2016-02-01,7.926756352765321
2016-03-01,6.512456140350878
2016-04-01,7.5703069236259815
2016-05-01,6.624018558172734
2016-06-01,7.319530710835059
2016-07-01,7.922808764940239
2016-08-01,6.595771144278608
2016-09-01,7.490112994350282
2016-10-01,8.18364197530864
2016-11-01,7.20516304347826
2016-12-01,7.344875346260387
2017-01-01,5.593881856540084
2017-02-01,6.935911808669656
2017-03-01,6.512456140350878
2017-04-01,6.624018558172734
2017-05-01,6.624018558172734
2017-06-01,5.489648033126294
2017-07-01,6.162184594953519
2017-08-01,5.653518123667378
2017-09-01,7.490112994350282
2017-10-01,7.014550264550262
2017-11-01,7.20516304347826
2017-12-01,7.344875346260387
2018-01-01,5.593881856540084
2018-02-01,5.945067264573991
2018-03-01,4.651754385964912
2018-04-01,5.677730192719486
2018-05-01,5.677730192719486
2018-06-01,5.489648033126294
2018-07-01,6.162184594953519
2018-08-01,5.653518123667378
2018-09-01,5.350080710250201
2018-10-01,4.676366843033509
2018-11-01,6.004302536231884
2018-12-01,6.120729455216988
2019-01-01,4.661568213783403
2019-02-01,4.954222720478326
2019-03-01,5.582105263157895
2019-04-01,5.677730192719486
2019-05-01,5.677730192719486
2019-06-01,4.574706694271912
2019-07-01,5.281872509960159
2019-08-01,4.711265103056148
2019-09-01,4.280064568200161
2019-10-01,5.845458553791886
2019-11-01,4.803442028985507
2019-12-01,6.120729455216988
2020-01-01,3.7292545710267224
2020-02-01,4.954222720478326
2020-03-01,4.651754385964912
2020-04-01,7.5703069236259815
2020-05-01,7.5703069236259815
2020-06-01,6.404589371980676
2020-07-01,5.281872509960159
2020-08-01,5.653518123667378
2020-09-01,7.490112994350282
2020-10-01,8.18364197530864
2020-11-01,6.004302536231884
2020-12-01,6.120729455216988
2021-01-01,4.661568213783403
2021-02-01,4.954222720478326
2021-03-01,5.582105263157895
2021-04-01,6.624018558172734
2021-05-01,10.409172019985725
2021-06-01,13.724120082815736
2021-07-01,14.965305444887118
2021-08-01,13.191542288557216
