date,beer prices
2010-12-01,52.322713257965056
2011-01-01,64.9628024557602
2011-02-01,56.40396292745286
2011-03-01,55.893870082342175
2011-04-01,57.49398907103825
2011-05-01,59.3516276567124
2011-06-01,58.12832310838445
2011-07-01,61.41029561671763
2011-08-01,54.418565400843875
2011-09-01,54.235492010092514
2011-10-01,55.7209029610085
2011-11-01,54.0970200970201
2011-12-01,59.29907502569373
2012-01-01,50.254243409172986
2012-02-01,56.40396292745286
2012-03-01,55.893870082342175
2012-04-01,52.85737704918032
2012-05-01,60.264729620661825
2012-06-01,63.33384458077709
2012-07-01,60.5453618756371
2012-08-01,61.10154711673698
2012-09-01,57.08999158957107
2012-10-01,54.725886836704774
2012-11-01,51.74497574497575
2012-12-01,47.67180541281261
2013-01-01,55.157096424702054
2013-02-01,52.06519654841802
2013-03-01,55.893870082342175
2013-04-01,55.639344262295076
2013-05-01,55.69921980091471
2013-06-01,59.86349693251533
2013-07-01,53.62589194699286
2013-08-01,57.282700421940916
2013-09-01,52.33249229044014
2013-10-01,47.76077396657871
2013-11-01,50.568953568953575
2013-12-01,54.64816718054128
2014-01-01,55.157096424702054
2014-02-01,45.55704697986577
2014-03-01,53.82372674595913
2014-04-01,50.07540983606557
2014-05-01,58.43852569276298
2014-06-01,58.99591002044989
2014-07-01,57.08562691131498
2014-08-01,59.19212376933895
2014-09-01,58.992991309223434
2014-10-01,48.755790090882435
2014-11-01,50.568953568953575
2014-12-01,48.83453237410072
2015-01-01,55.157096424702054
2015-02-01,46.641738574624476
2015-03-01,47.61329673681
2015-04-01,51.002732240437155
2015-05-01,51.133709981167605
2015-06-01,55.52556237218813
2015-07-01,57.95056065239551
2015-08-01,59.19212376933895
2015-09-01,56.138491729744885
2015-10-01,52.73585458809733
2015-11-01,50.568953568953575
2015-12-01,52.322713257965056
2016-01-01,55.157096424702054
2016-02-01,57.48865452221157
2016-03-01,49.68344007319304
2016-04-01,56.56666666666666
2016-05-01,57.52542372881356
2016-06-01,58.99591002044989
2016-07-01,60.5453618756371
2016-08-01,55.37327707454289
2016-09-01,58.992991309223434
2016-10-01,58.70595133391967
2016-11-01,54.0970200970201
2016-12-01,56.97362110311751
2017-01-01,57.60852293246659
2017-02-01,54.23457973793544
2017-03-01,54.858798414150655
2017-04-01,57.49398907103825
2017-05-01,59.3516276567124
2017-06-01,65.06901840490796
2017-07-01,62.27522935779816
2017-08-01,62.056258790436
2017-09-01,56.138491729744885
2017-10-01,54.725886836704774
2017-11-01,57.625086625086624
2017-12-01,58.13634806440562
2018-01-01,53.931383170819785
2018-02-01,56.40396292745286
2018-03-01,55.893870082342175
2018-04-01,50.07540983606557
2018-05-01,57.52542372881356
2018-06-01,57.260736196319016
2018-07-01,59.68042813455657
2018-08-01,63.01097046413501
2018-09-01,56.138491729744885
2018-10-01,59.700967458223396
2018-11-01,51.74497574497575
2018-12-01,58.13634806440562
2019-01-01,60.05994944023113
2019-02-01,49.895813358900604
2019-03-01,51.75358340957609
2019-04-01,49.14808743169399
2019-05-01,53.87301587301587
2019-06-01,54.65797546012269
2019-07-01,55.35575942915392
2019-08-01,63.96568213783403
2019-09-01,53.28399215026633
2019-10-01,48.755790090882435
2019-11-01,48.216909216909215
2019-12-01,45.34635149023638
2020-01-01,50.254243409172986
2020-02-01,52.06519654841802
2020-03-01,40.36779505946935
2020-04-01,23.183060109289617
2020-05-01,22.82754909873554
2020-06-01,25.160020449897747
2020-07-01,51.8960244648318
2020-08-01,25.777215189873413
2020-09-01,24.738996355480797
2020-10-01,26.86543535620053
2020-11-01,23.52044352044352
2020-12-01,20.92908530318602
2021-01-01,24.51426507764536
2021-02-01,26.03259827420901
2021-03-01,25.876791704788044
2021-04-01,26.892349726775954
2021-05-01,30.132364810330913
2021-06-01,30.365541922290387
2021-07-01,31.13761467889908
2021-08-01,33.41490857946554
2021-09-01,34.25399495374264
