date,cost of living calculator
2013-10-01,24.883333333333333
2013-11-01,25.86741996233522
2013-12-01,54.73774784885896
2014-01-01,53.02649199417758
2014-02-01,42.004892966360856
2014-03-01,23.840319361277444
2014-04-01,34.04560697518444
2014-05-01,54.12688821752266
2014-06-01,58.491674828599415
2014-07-01,54.499519692603265
2014-08-01,54.47097844112769
2014-09-01,52.0027864855451
2014-10-01,55.176086956521736
2014-11-01,52.859510357815445
2014-12-01,53.62065095398429
2015-01-01,46.07219796215429
2015-02-01,48.396941896024465
2015-03-01,52.64737192282102
2015-04-01,40.053655264922874
2015-05-01,28.065793890567306
2015-06-01,28.270976167156384
2015-07-01,45.89433237271854
2015-08-01,43.576782752902155
2015-09-01,29.12156043190526
2015-10-01,25.96521739130435
2015-11-01,29.241431261770245
2015-12-01,33.51290684624018
2016-01-01,25.209315866084424
2016-02-01,18.262996941896024
2016-03-01,19.866932801064536
2016-04-01,25.033534540576795
2016-05-01,32.07519301779121
2016-06-01,22.42180868429644
2016-07-01,15.298110790906179
2016-08-01,17.82686567164179
2016-09-01,26.00139324277255
2016-10-01,25.96521739130435
2016-11-01,15.745386064030132
2016-12-01,15.639356528245418
2017-01-01,19.124308588064046
2017-02-01,27.394495412844037
2017-03-01,24.83366600133067
2017-04-01,16.02146210596915
2017-05-01,18.042296072507554
2017-06-01,23.396669931439767
2017-07-01,29.64008965738072
2017-08-01,27.73067993366501
2017-09-01,19.76105886450714
2017-10-01,24.883333333333333
2017-11-01,26.992090395480226
2017-12-01,27.927422371866818
2018-01-01,26.94788937409025
2018-02-01,27.394495412844037
2018-03-01,28.80705256154358
2018-04-01,30.040241448692157
2018-05-01,29.06814367237328
2018-06-01,28.270976167156384
2018-07-01,28.683957732949086
2018-08-01,28.72106135986733
2018-09-01,26.00139324277255
2018-10-01,29.21086956521739
2018-11-01,29.241431261770245
2018-12-01,25.69322858211747
2019-01-01,26.078602620087338
2019-02-01,29.220795107033638
2019-03-01,26.820359281437124
2019-04-01,29.038900067069083
2019-05-01,30.070493454179257
2019-06-01,28.270976167156384
2019-07-01,27.72782580851745
2019-08-01,28.72106135986733
2019-09-01,31.201671891327063
2019-10-01,31.37463768115942
2019-11-01,29.241431261770245
2019-12-01,25.69322858211747
2020-01-01,24.340029112081513
2020-02-01,25.568195718654433
2020-03-01,17.88023952095808
2020-04-01,17.02280348759222
2020-05-01,19.04464585431353
2020-06-01,19.49722494286647
2020-07-01,19.122638488632724
2020-08-01,19.807628524046436
2020-09-01,20.801114594218042
2020-10-01,20.555797101449276
2020-11-01,17.99472693032015
2020-12-01,17.873550317994763
2021-01-01,16.516448326055315
2021-02-01,18.262996941896024
2021-03-01,17.88023952095808
2021-04-01,18.02414486921529
2021-05-01,18.042296072507554
2021-06-01,16.5726412014365
2021-07-01,17.21037463976945
2021-08-01,17.82686567164179
2021-09-01,16.640891675374434
2021-10-01,18.392028985507245
2021-11-01,16.870056497175142
2021-12-01,18.990647212869437
2022-01-01,20.862882096069868
2022-02-01,23.74189602446483
2022-03-01,25.8270126413839
2022-04-01,25.033534540576795
2022-05-01,22.051695199731455
2022-06-01,22.42180868429644
2022-07-01,21.034902337495996
2022-08-01,20.798009950248755
2022-09-01,19.76105886450714
2022-10-01,21.63768115942029
2022-11-01,21.36873822975518
2022-12-01,18.990647212869437
2023-01-01,18.255021834061136
2023-02-01,20.089296636085628
2023-03-01,22.846972721224216
2023-04-01,24.032193158953724
2023-05-01,21.04934541792548
2023-06-01,21.446947437153117
2023-07-01,21.034902337495996
2023-08-01,20.798009950248755
2023-09-01,21.841170323928942
2023-10-01,21.63768115942029
2023-11-01,21.36873822975518
2023-12-01,20.107744107744107
2024-01-01,19.124308588064046
2024-02-01,20.089296636085628
2024-03-01,20.860279441117765
2024-04-01,20.026827632461437
2024-05-01,18.042296072507554
2024-06-01,16.5726412014365
2024-07-01,16.254242715337817
2024-08-01,15.846102819237148
2024-09-01,15.600835945663531
2024-10-01,17.310144927536232
2024-11-01,16.870056497175142
2024-12-01,15.639356528245418
2025-01-01,14.77787481804949
2025-02-01,15.52354740061162
2025-03-01,14.900199600798402
2025-04-01,15.020120724346079
2025-05-01,12.028197381671703
2025-06-01,12.673196212863207
2025-07-01,13.385846942042907
2025-08-01,12.874958540630182
2025-09-01,13.520724486241727
2025-10-01,14.064492753623188
2025-11-01,14.620715630885122
2025-12-01,15.639356528245418
