date,housing costs
2015-05-01,26.874837872892346
2015-06-01,23.998473282442745
2015-07-01,30.190140845070417
2015-08-01,28.308240887480192
2015-09-01,27.779937791601867
2015-10-01,28.411634756995582
2015-11-01,29.72659732540862
2015-12-01,26.544891640866872
2016-01-01,27.51997146932953
2016-02-01,30.911619283065512
2016-03-01,29.87753882915173
2016-04-01,31.309550561797753
2016-05-01,26.874837872892346
2016-06-01,27.270992366412212
2016-07-01,26.835680751173705
2016-08-01,24.911251980982566
2016-09-01,25.557542768273716
2016-10-01,27.35935198821797
2016-11-01,25.47994056463596
2016-12-01,24.332817337461297
2017-01-01,27.51997146932953
2017-02-01,30.028430160692213
2017-03-01,29.87753882915173
2017-04-01,31.309550561797753
2017-05-01,27.80155642023346
2017-06-01,25.089312977099233
2017-07-01,26.835680751173705
2017-08-01,26.043581616481774
2017-09-01,24.446345256609643
2017-10-01,26.307069219440354
2017-11-01,27.60326894502229
2017-12-01,25.438854489164083
2018-01-01,26.500713266761768
2018-02-01,28.262051915945612
2018-03-01,29.87753882915173
2018-04-01,31.309550561797753
2018-05-01,31.508430609597923
2018-06-01,27.270992366412212
2018-07-01,27.953834115805943
2018-08-01,28.308240887480192
2018-09-01,26.668740279937794
2018-10-01,27.35935198821797
2018-11-01,28.664933135215453
2018-12-01,26.544891640866872
2019-01-01,28.53922967189729
2019-02-01,28.262051915945612
2019-03-01,29.02389486260454
2019-04-01,30.506741573033707
2019-05-01,30.581712062256805
2019-06-01,26.18015267175572
2019-07-01,25.717527386541466
2019-08-01,24.911251980982566
2019-09-01,26.668740279937794
2019-10-01,28.411634756995582
2019-11-01,25.47994056463596
2019-12-01,23.22678018575851
2020-01-01,30.57774607703281
2020-02-01,26.49567367119901
2020-03-01,22.194743130227
2020-04-01,21.675842696629214
2020-05-01,19.461089494163424
2020-06-01,21.81679389312977
2020-07-01,27.953834115805943
2020-08-01,23.77892234548336
2020-09-01,24.446345256609643
2020-10-01,22.0979381443299
2020-11-01,19.10995542347697
2020-12-01,18.802631578947366
2021-01-01,20.385164051355208
2021-02-01,20.31334981458591
2021-03-01,20.487455197132615
2021-04-01,23.2814606741573
2021-05-01,22.24124513618677
2021-06-01,22.907633587786258
2021-07-01,23.481220657276992
2021-08-01,23.77892234548336
2021-09-01,22.223950233281492
2021-10-01,23.15022091310751
2021-11-01,24.418276374442794
2021-12-01,22.120743034055725
2022-01-01,29.55848787446505
2022-02-01,30.028430160692213
2022-03-01,33.2921146953405
2022-04-01,36.929213483146064
2022-05-01,37.068741893644614
2022-06-01,29.452671755725188
2022-07-01,30.190140845070417
2022-08-01,31.705229793977814
2022-09-01,31.11353032659409
2022-10-01,30.51620029455081
2022-11-01,30.788261515601782
2022-12-01,26.544891640866872
2023-01-01,32.61626248216833
2023-02-01,31.794808405438815
2023-03-01,31.584826762246117
2023-04-01,33.71797752808989
2023-05-01,33.36186770428015
2023-06-01,29.452671755725188
2023-07-01,29.07198748043818
2023-08-01,32.83755942947702
2023-09-01,37.780715396578536
2023-10-01,35.777614138438885
2023-11-01,36.09658246656761
2023-12-01,33.18111455108359
2024-01-01,35.67403708987161
2024-02-01,39.743510506798515
2024-03-01,40.97491039426523
2024-04-01,40.140449438202246
2024-05-01,39.84889753566796
2024-06-01,37.088549618320606
2024-07-01,38.01721439749608
2024-08-01,39.63153724247227
2024-09-01,43.33670295489891
2024-10-01,48.40500736377025
2024-11-01,45.65156017830609
2024-12-01,42.02941176470588
2025-01-01,44.84736091298146
2025-02-01,45.92583436341162
2025-03-01,47.80406212664277
2025-04-01,47.36573033707865
2025-05-01,42.629053177691304
2025-06-01,47.99694656488549
2025-07-01,54.789514866979644
2025-08-01,53.21949286846276
2025-09-01,53.33748055987559
2025-10-01,54.71870397643594
2025-11-01,79.62481426448737
2025-12-01,110.60371517027863
