date,consumer price index
2012-10-01,17.40843443096476
2012-11-01,16.36105738233398
2012-12-01,16.908315565031984
2013-01-01,14.855096418732783
2013-02-01,14.572741194486984
2013-03-01,16.406896551724138
2013-04-01,16.435233160621763
2013-05-01,14.070975918884663
2013-06-01,12.642028985507245
2013-07-01,13.651017214397498
2013-08-01,11.355608591885442
2013-09-01,14.878048780487806
2013-10-01,15.575967648757945
2013-11-01,14.31592520954223
2013-12-01,14.653873489694387
2014-01-01,12.233608815426997
2014-02-01,14.572741194486984
2014-03-01,14.583908045977012
2014-04-01,13.69602763385147
2014-05-01,15.076045627376425
2014-06-01,13.791304347826086
2014-07-01,13.651017214397498
2014-08-01,12.617342879872712
2014-09-01,15.869918699186993
2014-10-01,16.492201039861353
2014-11-01,15.338491295938105
2014-12-01,14.653873489694387
2015-01-01,13.981267217630855
2015-02-01,13.763144461459929
2015-03-01,16.406896551724138
2015-04-01,14.6090961427749
2015-05-01,14.070975918884663
2015-06-01,12.642028985507245
2015-07-01,12.410015649452271
2015-08-01,12.617342879872712
2015-09-01,15.869918699186993
2015-10-01,17.40843443096476
2015-11-01,15.338491295938105
2015-12-01,16.908315565031984
2016-01-01,9.612121212121213
2016-02-01,12.143950995405818
2016-03-01,12.760919540229885
2016-04-01,13.69602763385147
2016-05-01,12.06083650190114
2016-06-01,9.194202898550724
2016-07-01,8.68701095461659
2016-08-01,8.832140015910898
2016-09-01,12.894308943089431
2016-10-01,12.82726747544772
2016-11-01,11.24822695035461
2016-12-01,12.399431414356789
2017-01-01,9.612121212121213
2017-02-01,12.143950995405818
2017-03-01,12.760919540229885
2017-04-01,11.869890616004607
2017-05-01,11.05576679340938
2017-06-01,9.194202898550724
2017-07-01,8.68701095461659
2017-08-01,8.832140015910898
2017-09-01,10.910569105691058
2017-10-01,13.743500866551127
2017-11-01,12.270793036750483
2017-12-01,12.399431414356789
2018-01-01,9.612121212121213
2018-02-01,13.763144461459929
2018-03-01,11.849425287356322
2018-04-01,12.782959124928038
2018-05-01,12.06083650190114
2018-06-01,10.343478260869565
2018-07-01,8.68701095461659
2018-08-01,10.09387430389817
2018-09-01,11.902439024390244
2018-10-01,13.743500866551127
2018-11-01,11.24822695035461
2018-12-01,11.27221037668799
2019-01-01,10.48595041322314
2019-02-01,11.334354262378763
2019-03-01,10.937931034482759
2019-04-01,10.956822107081175
2019-05-01,12.06083650190114
2019-06-01,9.194202898550724
2019-07-01,8.68701095461659
2019-08-01,8.832140015910898
2019-09-01,12.894308943089431
2019-10-01,11.91103408434431
2019-11-01,10.225660863958737
2019-12-01,10.14498933901919
2020-01-01,8.738292011019285
2020-02-01,10.52475752935171
2020-03-01,9.114942528735632
2020-04-01,9.130685089234312
2020-05-01,10.050697084917617
2020-06-01,8.044927536231883
2020-07-01,8.68701095461659
2020-08-01,7.570405727923628
2020-09-01,11.902439024390244
2020-10-01,12.82726747544772
2020-11-01,9.203094777562862
2020-12-01,7.890547263681593
2021-01-01,6.116804407713499
2021-02-01,8.095967330270547
2021-03-01,10.026436781609195
2021-04-01,10.043753598157744
2021-05-01,14.070975918884663
2021-06-01,11.492753623188406
2021-07-01,11.169014084507044
2021-08-01,8.832140015910898
2021-09-01,11.902439024390244
