date,restaurant prices
2015-10-01,25.411306042884988
2015-11-01,24.925430210325047
2015-12-01,24.689393939393938
2016-01-01,32.63210594315245
2016-02-01,32.34267367192061
2016-03-01,30.401119402985074
2016-04-01,32.25702426564495
2016-05-01,31.446491228070172
2016-06-01,34.75472273004265
2016-07-01,32.91919191919192
2016-08-01,30.895718654434248
2016-09-01,30.946627373935822
2016-10-01,30.705328135152694
2016-11-01,29.079668578712553
2016-12-01,28.487762237762237
2017-01-01,32.63210594315245
2017-02-01,37.09894921190893
2017-03-01,33.44123134328358
2017-04-01,33.29757343550447
2017-05-01,33.352339181286546
2017-06-01,37.73369896404631
2017-07-01,34.748035914702584
2017-08-01,34.88226299694189
2017-09-01,34.14800261951539
2017-10-01,34.94054580896686
2017-11-01,33.23390694710006
2017-12-01,31.33653846153846
2018-01-01,34.7374031007752
2018-02-01,33.29392877991827
2018-03-01,35.46797263681592
2018-04-01,36.41922094508301
2018-05-01,34.305263157894736
2018-06-01,34.75472273004265
2018-07-01,34.748035914702584
2018-08-01,33.88562691131498
2018-09-01,37.34937786509496
2018-10-01,31.764132553606238
2018-11-01,33.23390694710006
2018-12-01,33.23572261072261
2019-01-01,34.7374031007752
2019-02-01,34.245183887915935
2019-03-01,34.45460199004975
2019-04-01,31.216475095785437
2019-05-01,35.25818713450292
2019-06-01,33.761730652041436
2019-07-01,31.090347923681257
2019-08-01,32.88899082568807
2019-09-01,33.08087753765553
2019-10-01,32.82293697205978
2019-11-01,29.079668578712553
2019-12-01,28.487762237762237
2020-01-01,33.684754521963825
2020-02-01,31.39141856392294
2020-03-01,20.267412935323385
2020-04-01,14.567688378033205
2020-05-01,14.293859649122806
2020-06-01,15.887873248019499
2020-07-01,16.45959595959596
2020-08-01,18.936085626911314
2020-09-01,21.342501637197117
2020-10-01,21.176088369070825
2020-11-01,17.655513065646907
2020-12-01,15.193473193473192
2021-01-01,18.947674418604652
2021-02-01,19.0251021599533
2021-03-01,22.29415422885572
2021-04-01,22.892081736909322
2021-05-01,23.823099415204677
2021-06-01,24.824801950030466
2021-07-01,23.774971941638608
2021-08-01,23.919266055045867
