date,private club
2009-10-01,34.696098799630654
2009-11-01,34.63214285714287
2009-12-01,31.689542483660137
2010-01-01,35.405713058419245
2010-02-01,33.5853274559194
2010-03-01,35.261818181818185
2010-04-01,33.91237010391687
2010-05-01,32.825368379131824
2010-06-01,32.115019692087365
2010-07-01,31.67275776836159
2010-08-01,34.46800947867298
2010-09-01,30.198990549828178
2010-10-01,32.45764081255771
2010-11-01,28.860119047619055
2010-12-01,28.294234360410837
2011-01-01,33.32302405498282
2011-02-01,34.60306465155332
2011-03-01,33.30282828282829
2011-04-01,33.91237010391687
2011-05-01,34.75627240143369
2011-06-01,35.586913712853566
2011-07-01,34.24081920903956
2011-08-01,35.4254541864139
2011-09-01,33.32302405498282
2011-10-01,33.57686980609418
2011-11-01,32.32333333333334
2011-12-01,31.689542483660137
2012-01-01,32.2816795532646
2012-02-01,32.56759026028548
2012-03-01,31.343838383838385
2012-04-01,33.91237010391687
2012-05-01,34.75627240143369
2012-06-01,34.718940207662015
2012-07-01,31.67275776836159
2012-08-01,33.51056477093207
2012-09-01,32.2816795532646
2012-10-01,31.33841181902124
2012-11-01,28.860119047619055
2012-12-01,29.42600373482727
2013-01-01,30.198990549828178
2013-02-01,30.532115869017634
2013-03-01,27.425858585858588
2013-04-01,31.00559552358114
2013-05-01,28.96356033452808
2013-06-01,32.982993197278915
2013-07-01,30.8167372881356
2013-08-01,32.55312006319115
2013-09-01,32.2816795532646
2013-10-01,32.45764081255771
2013-11-01,33.4777380952381
2013-12-01,30.5577731092437
2014-01-01,32.2816795532646
2014-02-01,33.5853274559194
2014-03-01,31.343838383838385
2014-04-01,32.94344524380496
2014-05-01,31.859916367980887
2014-06-01,30.379072681704262
2014-07-01,28.248675847457633
2014-08-01,33.51056477093207
2014-09-01,29.157646048109964
2014-10-01,30.219182825484765
2014-11-01,28.860119047619055
2014-12-01,29.42600373482727
2015-01-01,30.198990549828178
2015-02-01,27.47890428211587
2015-03-01,31.343838383838385
2015-04-01,29.06774580335732
2015-05-01,32.825368379131824
2015-06-01,29.51109917651271
2015-07-01,30.8167372881356
2015-08-01,30.63823064770932
2015-09-01,31.240335051546392
2015-10-01,29.09995383194829
2015-11-01,30.014523809523816
2015-12-01,28.294234360410837
2016-01-01,30.198990549828178
2016-02-01,31.549853064651558
2016-03-01,33.30282828282829
2016-04-01,33.91237010391687
2016-05-01,33.79082039028276
2016-06-01,30.379072681704262
2016-07-01,29.104696327683623
2016-08-01,30.63823064770932
2016-09-01,30.198990549828178
2016-10-01,31.33841181902124
2016-11-01,30.014523809523816
2016-12-01,28.294234360410837
2017-01-01,31.240335051546392
2017-02-01,33.5853274559194
2017-03-01,32.32333333333334
2017-04-01,32.94344524380496
2017-05-01,32.825368379131824
2017-06-01,29.51109917651271
2017-07-01,29.104696327683623
2017-08-01,29.680785939968406
2017-09-01,29.157646048109964
2017-10-01,31.33841181902124
2017-11-01,30.014523809523816
2017-12-01,29.42600373482727
2018-01-01,30.198990549828178
2018-02-01,30.532115869017634
2018-03-01,29.384848484848487
2018-04-01,30.036670663469227
2018-05-01,29.929012345679013
2018-06-01,28.64312567132116
2018-07-01,28.248675847457633
2018-08-01,30.63823064770932
2018-09-01,29.157646048109964
2018-10-01,30.219182825484765
2018-11-01,28.860119047619055
2018-12-01,28.294234360410837
2019-01-01,31.240335051546392
2019-02-01,30.532115869017634
2019-03-01,28.405353535353537
2019-04-01,28.098820943245407
2019-05-01,28.96356033452808
2019-06-01,28.64312567132116
2019-07-01,26.536634887005654
2019-08-01,28.72334123222749
2019-09-01,28.116301546391753
2019-10-01,30.219182825484765
2019-11-01,27.705714285714294
2019-12-01,26.03069561157797
2020-01-01,29.157646048109964
2020-02-01,28.496641477749794
2020-03-01,21.54888888888889
2020-04-01,20.347422062350123
2020-05-01,26.06720430107527
2020-06-01,25.17123165055496
2020-07-01,26.536634887005654
2020-08-01,26.808451816745656
2020-09-01,27.07495704467354
2020-10-01,26.861495844875346
2020-11-01,25.396904761904768
2020-12-01,23.767156862745104
2021-01-01,23.9509235395189
2021-02-01,24.42569269521411
2021-03-01,26.44636363636364
2021-04-01,30.036670663469227
2021-05-01,30.89446435682995
2021-06-01,28.64312567132116
2021-07-01,28.248675847457633
2021-08-01,28.72334123222749
2021-09-01,30.198990549828178
2021-10-01,31.33841181902124
2021-11-01,32.32333333333334
2021-12-01,28.294234360410837
2022-01-01,36.44705756013746
2022-02-01,39.691750629722925
2022-03-01,35.261818181818185
2022-04-01,34.88129496402878
2022-05-01,33.79082039028276
2022-06-01,32.982993197278915
2022-07-01,31.67275776836159
2022-08-01,32.55312006319115
2022-09-01,33.32302405498282
2022-10-01,34.696098799630654
2022-11-01,34.63214285714287
2022-12-01,30.5577731092437
2023-01-01,35.405713058419245
2023-02-01,38.674013434089005
2023-03-01,33.30282828282829
2023-04-01,35.850219824140694
2023-05-01,34.75627240143369
2023-06-01,32.115019692087365
2023-07-01,36.80888064971752
2023-08-01,34.46800947867298
2023-09-01,37.488402061855666
2023-10-01,38.05378578024008
2023-11-01,36.94095238095239
2023-12-01,35.084850606909434
2024-01-01,38.52974656357388
2024-02-01,37.656276238455085
2024-03-01,41.13878787878788
2024-04-01,36.8191446842526
2024-05-01,42.47988849064118
2024-06-01,37.322860723236666
2024-07-01,42.80102401129945
2024-08-01,36.38289889415482
2024-09-01,40.61243556701031
2024-10-01,39.17301477377654
2024-11-01,40.404166666666676
2024-12-01,44.13900560224091
2025-01-01,44.77781357388316
2025-02-01,50.88685978169606
2025-03-01,47.015757575757576
2025-04-01,50.38409272581935
2025-05-01,45.37624452409399
2025-06-01,56.41827783745077
2025-07-01,73.61776129943505
2025-08-01,57.44668246445498
2025-09-01,58.31529209621993
2025-10-01,60.43836565096953
2025-11-01,86.58035714285717
2025-12-01,113.17693744164335
