date,career change
2017-11-01,46.97243380486036
2017-12-01,42.125612052730695
2018-01-01,42.49513496547395
2018-02-01,41.663801820020225
2018-03-01,43.92910447761194
2018-04-01,43.89862989941034
2018-05-01,39.76021614319486
2018-06-01,41.2981690622861
2018-07-01,41.62171717171717
2018-08-01,41.213541666666664
2018-09-01,43.772874232137085
2018-10-01,41.45422535211268
2018-11-01,41.63465723612623
2018-12-01,43.23418079096045
2019-01-01,44.34274952919021
2019-02-01,42.655797101449274
2019-03-01,43.92910447761194
2019-04-01,41.856833159902884
2019-05-01,42.742232353934476
2019-06-01,42.30544147843942
2019-07-01,41.62171717171717
2019-08-01,40.20833333333333
2019-09-01,43.772874232137085
2019-10-01,40.46721998658619
2019-11-01,40.5671019223794
2019-12-01,39.90847457627118
2020-01-01,42.49513496547395
2020-02-01,44.639787664307384
2020-03-01,36.119485903814265
2020-04-01,43.89862989941034
2020-05-01,45.72424856467409
2020-06-01,40.29089664613278
2020-07-01,41.62171717171717
2020-08-01,43.22395833333333
2020-09-01,42.82129000969932
2020-10-01,41.45422535211268
2020-11-01,37.364435981138925
2020-12-01,41.01704331450094
2021-01-01,37.8760985561833
2021-02-01,39.679811257162115
2021-03-01,38.07189054726368
2021-04-01,38.79413805064169
2021-05-01,39.76021614319486
2021-06-01,37.269079397672826
2021-07-01,37.65774410774411
2021-08-01,39.203125
2021-09-01,39.96653734238603
2021-10-01,40.46721998658619
