date,career development
2016-11-01,45.13558201058201
2016-12-01,43.939937454010305
2017-01-01,46.91365039281706
2017-02-01,46.18491242038216
2017-03-01,43.63733666944676
2017-04-01,50.802729528535984
2017-05-01,43.9115662272442
2017-06-01,38.241674671789944
2017-07-01,39.029003267973856
2017-08-01,43.23212669683259
2017-09-01,43.304908054908054
2017-10-01,44.873926462694584
2017-11-01,48.14462081128748
2017-12-01,41.429083885209714
2018-01-01,40.21170033670034
2018-02-01,44.37373938428875
2018-03-01,40.791423408395886
2018-04-01,41.39481665288117
2018-05-01,40.69852479598243
2018-06-01,39.3342939481268
2018-07-01,39.029003267973856
2018-08-01,42.202790346907996
2018-09-01,44.18868168868169
2018-10-01,44.873926462694584
2018-11-01,42.126543209876544
2018-12-01,40.17365710080942
2019-01-01,40.21170033670034
2019-02-01,44.37373938428875
2019-03-01,41.74006116207951
2019-04-01,40.45402536531569
2019-05-01,40.69852479598243
2019-06-01,37.14905539545309
2019-07-01,39.029003267973856
2019-08-01,42.202790346907996
2019-09-01,48.60754985754986
2019-10-01,42.126543209876544
2019-11-01,39.117504409171076
2019-12-01,36.40737674760854
2020-01-01,42.126543209876544
2020-02-01,38.94022027600849
2020-03-01,30.356408117876008
2020-04-01,29.164529914529915
2020-05-01,31.059400502197114
2020-06-01,34.96381684277938
2020-07-01,35.683660130718955
2020-08-01,37.056108597285075
2020-09-01,37.118492618492624
2020-10-01,33.88439345142244
2020-11-01,30.090388007054678
2020-12-01,28.87481604120677
2021-01-01,29.680064534231203
2021-02-01,29.8843550955414
2021-03-01,32.253683625243255
2021-04-01,30.105321202095396
2021-05-01,29.988386691776526
2021-06-01,30.593339737431958
2021-07-01,28.99297385620915
2021-08-01,29.850754147812975
2021-09-01,31.81585081585082
2021-10-01,33.88439345142244
2021-11-01,36.10846560846561
2021-12-01,33.896523178807946
2022-01-01,36.38201459034793
2022-02-01,42.562566348195325
2022-03-01,42.68869891576313
2022-04-01,47.03956437827406
2022-05-01,44.98258003766479
2022-06-01,40.42691322446366
2022-07-01,44.60457516339869
2022-08-01,47.349472096530924
2022-09-01,44.18868168868169
2022-10-01,43.04233762748256
2022-11-01,44.13256907701353
2022-12-01,45.1953642384106
2023-01-01,44.04138608305275
2023-02-01,46.18491242038216
2023-03-01,48.38052543786489
2023-04-01,41.39481665288117
2023-05-01,47.124607658505965
2023-06-01,42.61215177713737
2023-07-01,41.25923202614379
2023-08-01,46.32013574660634
2023-09-01,44.18868168868169
2023-10-01,49.45289855072464
2023-11-01,49.14763374485597
2023-12-01,48.96164459161148
2024-01-01,43.08396464646465
2024-02-01,49.807258492569
2024-03-01,52.17507645259939
2024-04-01,51.743520816101466
2024-05-01,47.124607658505965
2024-06-01,44.79739032981108
2024-07-01,46.83480392156863
2024-08-01,47.349472096530924
2024-09-01,56.561512561512565
2024-10-01,50.368692968330656
2024-11-01,53.15968547912993
2024-12-01,48.96164459161148
2025-01-01,47.87107182940517
2025-02-01,57.05195063694267
2025-03-01,53.12371420628301
2025-04-01,51.743520816101466
2025-05-01,53.55069052102951
2025-06-01,73.20549151456933
2025-07-01,71.36732026143791
2025-08-01,68.96553544494722
2025-09-01,76.88830613830615
2025-10-01,72.34775899087494
2025-11-01,70.21090534979425
2025-12-01,92.9015820456218
