date,full time work
2013-05-01,24.146910919540232
2013-06-01,23.11461318051576
2013-07-01,22.671187683284458
2013-08-01,27.43877551020408
2013-09-01,23.281385281385283
2013-10-01,24.04327610872675
2013-11-01,24.18890554722639
2013-12-01,22.4439586645469
2014-01-01,28.228227060653193
2014-02-01,25.23460960960961
2014-03-01,26.3008607198748
2014-04-01,29.14088191330344
2014-05-01,28.010416666666668
2014-06-01,26.967048710601723
2014-07-01,27.599706744868037
2014-08-01,27.43877551020408
2014-09-01,26.191558441558442
2014-10-01,26.92846924177396
2014-11-01,26.204647676161922
2014-12-01,23.512718600953896
2015-01-01,28.228227060653193
2015-02-01,24.225225225225223
2015-03-01,28.404929577464788
2015-04-01,28.136023916292977
2015-05-01,27.044540229885058
2015-06-01,28.8932664756447
2015-07-01,31.542521994134898
2015-08-01,30.378644314868804
2015-09-01,30.07178932178932
2015-10-01,26.92846924177396
2015-11-01,27.212518740629687
2015-12-01,27.787758346581878
2016-01-01,32.410186625194406
2016-02-01,33.30968468468468
2016-03-01,33.66510172143975
2016-04-01,32.15545590433483
2016-05-01,31.873922413793107
2016-06-01,31.78259312320917
2016-07-01,30.556818181818183
2016-08-01,30.378644314868804
2016-09-01,32.98196248196248
2016-10-01,29.813662374821174
2016-11-01,30.236131934032986
2016-12-01,29.925278219395867
2017-01-01,34.501166407465014
2017-02-01,35.328453453453456
2017-03-01,34.71713615023474
2017-04-01,34.16517189835576
2017-05-01,35.73742816091954
2017-06-01,33.70881088825215
2017-07-01,32.528225806451616
2017-08-01,34.298469387755105
2017-09-01,32.98196248196248
2017-10-01,32.69885550786838
2017-11-01,34.267616191904054
2017-12-01,32.06279809220986
2018-01-01,38.68312597200623
2018-02-01,37.34722222222222
2018-03-01,36.82120500782472
2018-04-01,38.18460388639761
2018-05-01,36.703304597701155
2018-06-01,38.524355300859604
2018-07-01,37.456744868035194
2018-08-01,40.178206997084544
2018-09-01,36.86219336219336
2018-10-01,35.58404864091559
2018-11-01,36.28335832083958
2018-12-01,35.26907790143085
2019-01-01,44.95606531881805
2019-02-01,39.365990990990994
2019-03-01,41.02934272300469
2019-04-01,40.19431988041853
2019-05-01,42.49856321839081
2019-06-01,39.48746418338109
2019-07-01,39.42815249266862
2019-08-01,39.19825072886297
2019-09-01,38.8023088023088
2019-10-01,36.54577968526466
2019-11-01,35.27548725637182
2019-12-01,36.33783783783784
2020-01-01,44.95606531881805
2020-02-01,42.39414414414414
2020-03-01,43.133411580594675
2020-04-01,48.233183856502244
2020-05-01,49.25969827586207
2020-06-01,48.15544412607451
2020-07-01,46.32807917888563
2020-08-01,43.11807580174927
2020-09-01,41.71248196248196
2020-10-01,42.31616595135908
2020-11-01,37.291229385307346
2020-12-01,39.544117647058826
2021-01-01,44.95606531881805
2021-02-01,45.4222972972973
2021-03-01,44.185446009389665
2021-04-01,45.21860986547085
2021-05-01,46.362068965517246
2021-06-01,46.22922636103152
2021-07-01,44.3566715542522
2021-08-01,46.057944606414
2021-09-01,43.6525974025974
2021-10-01,43.277896995708154
