date,child care assistance
2019-01-01,62.3981077147016
2019-02-01,66.58137510879025
2019-03-01,56.46404109589041
2019-04-01,60.05031948881789
2019-05-01,59.593373493975896
2019-06-01,59.19775596072932
2019-07-01,59.021400778210115
2019-08-01,59.428320655354
2019-09-01,57.34782608695652
2019-10-01,59.8162951575711
2019-11-01,57.69903762029747
2019-12-01,56.18199419167473
2020-01-01,58.55822416302766
2020-02-01,56.24978241949521
2020-03-01,42.912671232876704
2020-04-01,36.873003194888184
2020-05-01,40.72213855421686
2020-06-01,46.24824684431978
2020-07-01,47.046044098573276
2020-08-01,48.623171445289636
2020-09-01,59.22808267997149
2020-10-01,61.84396617986164
2020-11-01,56.54505686789152
2020-12-01,63.843175217812195
2021-01-01,54.71834061135371
2021-02-01,63.13751087902524
2021-03-01,64.36900684931506
2021-04-01,61.1038338658147
2021-05-01,63.56626506024096
2021-06-01,71.22230014025246
2021-07-01,65.00907911802854
2021-08-01,67.14628437682855
2021-09-01,64.8688524590164
