date,GI bill
2013-04-01,45.27924151696607
2013-05-01,48.05956642800318
2013-06-01,42.58635578583765
2013-07-01,43.41456582633053
2013-08-01,42.70828914810887
2013-09-01,41.29246411483253
2013-10-01,48.713850357292976
2013-11-01,40.460032817627756
2013-12-01,44.70676429567642
2014-01-01,43.59337016574586
2014-02-01,42.85776361529548
2014-03-01,40.24071807425541
2014-04-01,45.27924151696607
2014-05-01,41.193914081145586
2014-06-01,41.52169689119171
2014-07-01,40.45448179271708
2014-08-01,39.22189819724284
2014-09-01,38.343002392344495
2014-10-01,35.23980664144598
2014-11-01,34.68002812939522
2014-12-01,36.68247326824732
2015-01-01,37.23600368324126
2015-02-01,33.33381614522982
2015-03-01,39.234700122399026
2015-04-01,39.37325349301397
2015-05-01,38.25149164677804
2015-06-01,35.13374352331606
2015-07-01,34.53431372549019
2015-08-01,35.735507246376805
2015-09-01,34.410386762360446
2015-10-01,35.23980664144598
2015-11-01,35.83602906704172
2015-12-01,33.24349139934913
2016-01-01,30.87863720073665
2016-02-01,35.23860563924295
2016-03-01,34.2046103631171
2016-04-01,36.420259481037924
2016-05-01,34.328261734287985
2016-06-01,29.810449050086355
2016-07-01,28.614145658263304
2016-08-01,29.634323082361256
2016-09-01,29.494617224880383
2016-10-01,27.984552332912987
2016-11-01,30.056024378809187
2016-12-01,29.80450953045095
2017-01-01,29.970441988950277
2017-02-01,31.429026651216684
2017-03-01,34.2046103631171
2017-04-01,36.420259481037924
2017-05-01,33.34745425616547
2017-06-01,30.875107944732296
2017-07-01,32.560924369747895
2017-08-01,38.35030045952633
2017-09-01,30.477771132376393
2017-10-01,30.057482135350984
2017-11-01,33.52402719174871
2017-12-01,32.0971641097164
2018-01-01,30.87863720073665
2018-02-01,32.38142139822325
2018-03-01,32.19257445940433
2018-04-01,33.46726546906188
2018-05-01,31.385839299920445
2018-06-01,29.810449050086355
2018-07-01,32.560924369747895
2018-08-01,32.24911629551078
2018-09-01,31.460925039872407
2018-10-01,32.130411937788985
2018-11-01,34.68002812939522
2018-12-01,33.24349139934913
2019-01-01,30.87863720073665
2019-02-01,30.47663190421012
2019-03-01,32.19257445940433
2019-04-01,32.48293413173653
2019-05-01,33.34745425616547
2019-06-01,30.875107944732296
2019-07-01,30.5875350140056
2019-08-01,27.89112760692824
2019-09-01,27.528309409888358
2019-10-01,27.984552332912987
2019-11-01,30.056024378809187
2019-12-01,28.65818224081822
2020-01-01,29.970441988950277
2020-02-01,30.47663190421012
2020-03-01,27.162484700122402
2020-04-01,24.60828343313373
2020-05-01,23.539379474940333
2020-06-01,26.616472366148532
2020-07-01,25.65406162464986
2020-08-01,23.533138918345703
2020-09-01,21.62938596491228
2020-10-01,22.80222782681799
2020-11-01,21.964017815283636
2020-12-01,24.072873082287305
2021-01-01,20.88848987108656
2021-02-01,22.85747392815759
2021-03-01,23.13841289269686
2021-04-01,23.623952095808384
2021-05-01,22.558571996817818
2021-06-01,22.357836787564764
2021-07-01,23.68067226890756
2021-08-01,22.661541180629197
