date,LIHEAP
2017-08-01,23.448919449901766
2017-09-01,23.22903397027601
2017-10-01,29.595642933049948
2017-11-01,28.670576510272923
2017-12-01,29.034418145956607
2018-01-01,31.49847746650426
2018-02-01,30.957203815261042
2018-03-01,29.320011337868483
2018-04-01,30.662813102119465
2018-05-01,25.381180223285487
2018-06-01,24.333333333333336
2018-07-01,25.146872920825018
2018-08-01,26.054354944335294
2018-09-01,23.22903397027601
2018-10-01,27.481668437832095
2018-11-01,27.450551977920885
2018-12-01,26.680276134122288
2019-01-01,28.267864393016644
2019-02-01,26.962725903614455
2019-03-01,30.447704081632654
2019-04-01,31.940430314707775
2019-05-01,30.140151515151516
2019-06-01,25.854166666666668
2019-07-01,26.47039254823686
2019-08-01,27.357072691552062
2019-09-01,26.396629511677283
2019-10-01,28.186326602904714
2019-11-01,29.890601042624965
2019-12-01,30.603846153846156
2020-01-01,29.883170929760453
2020-02-01,30.957203815261042
2020-03-01,29.320011337868483
2020-04-01,35.77328195247271
2020-05-01,39.65809409888357
2020-06-01,45.62500000000001
2020-07-01,43.67614770459082
2020-08-01,46.89783889980353
2020-09-01,38.011146496815286
2020-10-01,34.52825008855827
2020-11-01,35.38071143820914
2020-12-01,43.159270216962526
2021-01-01,35.53674380836378
2021-02-01,48.93235441767068
2021-03-01,42.852324263038554
2021-04-01,37.05089916506102
2021-05-01,42.83074162679426
2021-06-01,42.583333333333336
2021-07-01,38.38206919494345
2021-08-01,44.29240340537
2021-09-01,45.402202760084926
