date,pell grant
2014-08-01,11.38988095238095
2014-09-01,13.106164383561644
2014-10-01,11.85563816604709
2014-11-01,12.162076271186443
2014-12-01,13.456399437412095
2015-01-01,14.496212121212121
2015-02-01,13.20956607495069
2015-03-01,13.593169398907103
2015-04-01,12.996603970741901
2015-05-01,12.672185430463577
2015-06-01,13.106164383561644
2015-07-01,12.436861652739092
2015-08-01,11.38988095238095
2015-09-01,12.01398401826484
2015-10-01,11.85563816604709
2015-11-01,12.162076271186443
2015-12-01,12.110759493670885
2016-01-01,11.085338680926915
2016-02-01,12.26602564102564
2016-03-01,10.456284153005464
2016-04-01,10.99712643678161
2016-05-01,11.616169977924946
2016-06-01,10.921803652968036
2016-07-01,10.660167130919222
2016-08-01,9.491567460317459
2016-09-01,10.921803652968036
2016-10-01,10.67007434944238
2016-11-01,12.162076271186443
2016-12-01,10.765119549929675
2017-01-01,11.085338680926915
2017-02-01,11.322485207100591
2017-03-01,11.501912568306011
2017-04-01,9.997387669801462
2017-05-01,9.504139072847682
2017-06-01,10.921803652968036
2017-07-01,9.771819870009287
2017-08-01,10.124338624338623
2017-09-01,10.921803652968036
2017-10-01,11.85563816604709
2017-11-01,12.162076271186443
2017-12-01,10.765119549929675
2018-01-01,10.232620320855615
2018-02-01,9.435404339250493
2018-03-01,10.456284153005464
2018-04-01,10.99712643678161
2018-05-01,10.560154525386313
2018-06-01,10.921803652968036
2018-07-01,11.548514391829157
2018-08-01,10.124338624338623
2018-09-01,9.829623287671232
2018-10-01,11.85563816604709
2018-11-01,10.810734463276837
2018-12-01,10.765119549929675
2019-01-01,10.232620320855615
2019-02-01,9.435404339250493
2019-03-01,9.410655737704918
2019-04-01,9.997387669801462
2019-05-01,10.560154525386313
2019-06-01,10.921803652968036
2019-07-01,12.436861652739092
2019-08-01,10.124338624338623
2019-09-01,9.829623287671232
2019-10-01,11.85563816604709
2019-11-01,10.810734463276837
2019-12-01,10.765119549929675
2020-01-01,10.232620320855615
2020-02-01,9.435404339250493
2020-03-01,8.365027322404371
2020-04-01,9.997387669801462
2020-05-01,12.672185430463577
2020-06-01,10.921803652968036
2020-07-01,9.771819870009287
2020-08-01,8.226025132275131
2020-09-01,8.737442922374429
2020-10-01,9.484510532837671
2020-11-01,9.459392655367232
2020-12-01,9.419479606188466
2021-01-01,7.674465240641711
2021-02-01,7.548323471400394
2021-03-01,8.365027322404371
2021-04-01,7.99791013584117
2021-05-01,8.448123620309051
2021-06-01,7.645262557077626
2021-07-01,7.995125348189416
2021-08-01,6.327711640211639
