date,benefits application
2011-01-01,16.758441558441557
2011-02-01,16.481607629427792
2011-03-01,14.856578947368419
2011-04-01,14.078553615960098
2011-05-01,16.392276422764226
2011-06-01,15.736585365853657
2011-07-01,14.19894366197183
2011-08-01,16.51867469879518
2011-09-01,16.802083333333332
2011-10-01,15.622276029055689
2011-11-01,14.367577197149643
2011-12-01,13.441666666666666
2012-01-01,17.805844155844156
2012-02-01,16.481607629427792
2012-03-01,14.856578947368419
2012-04-01,14.078553615960098
2012-05-01,17.485094850948506
2012-06-01,14.753048780487802
2012-07-01,16.09213615023474
2012-08-01,16.51867469879518
2012-09-01,15.868634259259258
2012-10-01,16.59866828087167
2012-11-01,16.283254156769594
2012-12-01,13.441666666666666
2013-01-01,18.85324675324675
2013-02-01,17.580381471389643
2013-03-01,15.917763157894735
2013-04-01,17.095386533665835
2013-05-01,19.67073170731707
2013-06-01,16.72012195121951
2013-07-01,17.038732394366196
2013-08-01,18.462048192771082
2013-09-01,17.735532407407405
2013-10-01,18.55145278450363
2013-11-01,16.283254156769594
2013-12-01,16.32202380952381
2014-01-01,24.09025974025974
2014-02-01,21.975476839237054
2014-03-01,20.162499999999998
2014-04-01,19.10660847880299
2014-05-01,20.76355013550135
2014-06-01,19.67073170731707
2014-07-01,18.931924882629108
2014-08-01,18.462048192771082
2014-09-01,18.66898148148148
2014-10-01,19.52784503631961
2014-11-01,17.24109263657957
2014-12-01,16.32202380952381
2015-01-01,20.948051948051948
2015-02-01,17.580381471389643
2015-03-01,20.162499999999998
2015-04-01,18.100997506234414
2015-05-01,17.485094850948506
2015-06-01,18.687195121951216
2015-07-01,17.985328638497652
2015-08-01,18.462048192771082
2015-09-01,18.66898148148148
2015-10-01,19.52784503631961
2015-11-01,19.156769596199524
2015-12-01,17.28214285714286
2016-01-01,16.758441558441557
2016-02-01,16.481607629427792
2016-03-01,18.040131578947367
2016-04-01,17.095386533665835
2016-05-01,17.485094850948506
2016-06-01,14.753048780487802
2016-07-01,13.252347417840376
2016-08-01,15.546987951807228
2016-09-01,14.935185185185183
2016-10-01,14.645883777239709
2016-11-01,13.409738717339666
2016-12-01,13.441666666666666
2017-01-01,18.85324675324675
2017-02-01,19.77792915531335
2017-03-01,15.917763157894735
2017-04-01,16.089775561097255
2017-05-01,16.392276422764226
2017-06-01,15.736585365853657
2017-07-01,17.038732394366196
2017-08-01,15.546987951807228
2017-09-01,17.735532407407405
2017-10-01,18.55145278450363
2017-11-01,17.24109263657957
2017-12-01,16.32202380952381
2018-01-01,18.85324675324675
2018-02-01,18.679155313351494
2018-03-01,18.040131578947367
2018-04-01,18.100997506234414
2018-05-01,18.577913279132787
2018-06-01,15.736585365853657
2018-07-01,15.145539906103286
2018-08-01,17.490361445783133
2018-09-01,14.935185185185183
2018-10-01,16.59866828087167
2018-11-01,15.325415676959619
2018-12-01,15.361904761904762
2019-01-01,16.758441558441557
2019-02-01,16.481607629427792
2019-03-01,15.917763157894735
2019-04-01,15.084164588528676
2019-05-01,16.392276422764226
2019-06-01,15.736585365853657
2019-07-01,14.19894366197183
2019-08-01,15.546987951807228
2019-09-01,14.935185185185183
2019-10-01,16.59866828087167
2019-11-01,14.367577197149643
2019-12-01,13.441666666666666
2020-01-01,17.805844155844156
2020-02-01,16.481607629427792
2020-03-01,36.080263157894734
2020-04-01,59.33104738154613
2020-05-01,38.24864498644986
2020-06-01,33.44024390243902
2020-07-01,28.39788732394366
2020-08-01,26.235542168674698
2020-09-01,22.402777777777775
2020-10-01,23.433414043583532
2020-11-01,19.156769596199524
2020-12-01,20.1625
2021-01-01,26.185064935064933
2021-02-01,25.271798365122613
2021-03-01,21.22368421052631
2021-04-01,18.100997506234414
2021-05-01,20.76355013550135
2021-06-01,20.654268292682925
2021-07-01,18.931924882629108
2021-08-01,20.405421686746987
2021-09-01,20.535879629629626
2021-10-01,20.50423728813559
2021-11-01,19.156769596199524
2021-12-01,17.28214285714286
2022-01-01,27.23246753246753
2022-02-01,28.56811989100817
2022-03-01,27.590789473684207
2022-04-01,25.140274314214462
2022-05-01,25.13482384823848
2022-06-01,25.571951219512194
2022-07-01,23.664906103286384
2022-08-01,27.20722891566265
2022-09-01,25.203124999999996
2022-10-01,27.338983050847457
2022-11-01,23.945961995249405
2022-12-01,22.082738095238096
2023-01-01,27.23246753246753
2023-02-01,28.56811989100817
2023-03-01,26.52960526315789
2023-04-01,23.129052369077304
2023-05-01,28.413279132791324
2023-06-01,24.58841463414634
2023-07-01,23.664906103286384
2023-08-01,26.235542168674698
2023-09-01,27.070023148148145
2023-10-01,27.338983050847457
2023-11-01,24.90380047505938
2023-12-01,22.082738095238096
2024-01-01,29.327272727272724
2024-02-01,29.666893732970024
2024-03-01,26.52960526315789
2024-04-01,26.14588528678304
2024-05-01,26.22764227642276
2024-06-01,22.62134146341463
2024-07-01,22.718309859154928
2024-08-01,23.320481927710844
2024-09-01,26.13657407407407
2024-10-01,27.338983050847457
2024-11-01,23.945961995249405
2024-12-01,23.042857142857144
2025-01-01,30.374675324675323
2025-02-01,42.852179836512256
2025-03-01,37.14144736842105
2025-04-01,33.185162094763086
2025-05-01,33.87737127371273
2025-06-01,55.0780487804878
2025-07-01,74.78110328638498
2025-08-01,60.24457831325301
2025-09-01,67.20833333333333
2025-10-01,55.654358353510894
2025-11-01,78.54275534441804
2025-12-01,96.01190476190476
