date,earned income tax credit
2018-04-01,16.85394265232975
2018-05-01,16.08982035928144
2018-06-01,16.963383838383837
2018-07-01,16.83583959899749
2018-08-01,18.65972222222222
2018-09-01,16.284848484848485
2018-10-01,17.372844827586206
2018-11-01,18.05779569892473
2018-12-01,16.963383838383837
2019-01-01,14.905194150277357
2019-02-01,23.009841513292432
2019-03-01,14.06806282722513
2019-04-01,13.643667861409797
2019-05-01,13.40818363273453
2019-06-01,16.963383838383837
2019-07-01,13.468671679197994
2019-08-01,15.549768518518515
2019-09-01,16.284848484848485
2019-10-01,15.442528735632184
2019-11-01,16.252016129032256
2019-12-01,15.832491582491581
2020-01-01,21.00277357539082
2020-02-01,23.009841513292432
2020-03-01,15.631180919139034
2020-04-01,12.841099163679809
2020-05-01,18.771457085828345
2020-06-01,20.356060606060606
2020-07-01,33.67167919799498
2020-08-01,12.439814814814813
2020-09-01,13.570707070707071
2020-10-01,15.442528735632184
2020-11-01,12.640456989247312
2020-12-01,11.308922558922559
2021-01-01,12.195158850226928
2021-02-01,18.888675869120654
2021-03-01,28.13612565445026
2021-04-01,18.459080047789726
2021-05-01,56.314371257485035
2021-06-01,33.926767676767675
2021-07-01,33.67167919799498
2021-08-01,24.879629629629626
2021-09-01,16.284848484848485
2021-10-01,13.512212643678161
2021-11-01,14.446236559139784
2021-12-01,12.439814814814815
2022-01-01,12.533913262733233
2022-02-01,25.07042433537832
2022-03-01,25.791448516579408
2022-04-01,30.497610513739545
2022-05-01,21.45309381237525
2022-06-01,27.141414141414142
2022-07-01,20.20300751879699
2022-08-01,18.65972222222222
2022-09-01,21.713131313131314
2022-10-01,27.024425287356323
2022-11-01,21.669354838709676
2022-12-01,15.832491582491581
2023-01-01,18.970247100353
2023-02-01,24.72699386503067
2023-03-01,23.44677137870855
2023-04-01,24.07706093189964
2023-05-01,21.45309381237525
2023-06-01,20.356060606060606
2023-07-01,20.20300751879699
2023-08-01,15.549768518518515
2023-09-01,18.998989898989898
2023-10-01,23.163793103448278
2023-11-01,21.669354838709676
2023-12-01,20.356060606060606
2024-01-01,21.00277357539082
2024-02-01,24.72699386503067
2024-03-01,26.573007562536358
2024-04-01,23.274492234169653
2024-05-01,21.45309381237525
2024-06-01,23.748737373737374
2024-07-01,20.20300751879699
2024-08-01,27.98958333333333
2024-09-01,27.141414141414142
2024-10-01,28.954741379310345
2024-11-01,25.280913978494624
2024-12-01,22.617845117845118
2025-01-01,18.29273827534039
2025-02-01,24.72699386503067
2025-03-01,25.791448516579408
2025-04-01,24.87962962962963
2025-05-01,24.134730538922156
2025-06-01,23.748737373737374
2025-07-01,30.304511278195488
2025-08-01,24.879629629629626
2025-09-01,29.855555555555554
2025-10-01,28.954741379310345
2025-11-01,28.892473118279568
2025-12-01,27.14141414141414
