date,SSI benefits
2012-05-01,51.89893283113622
2012-06-01,38.83559168925022
2012-07-01,42.43539242017309
2012-08-01,62.172784243509405
2012-09-01,54.5505757858699
2012-10-01,37.20130254588514
2012-11-01,39.59231253938248
2012-12-01,50.7053051211285
2013-01-01,65.34450171821307
2013-02-01,44.093333333333334
2013-03-01,43.28797564687976
2013-04-01,41.19039145907473
2013-05-01,67.4686126804771
2013-06-01,51.7807889190003
2013-07-01,48.35660996717398
2013-08-01,47.369740376007165
2013-09-01,52.492063492063494
2013-10-01,54.82297217288337
2013-11-01,55.220856962822936
2013-12-01,53.74762342839621
2014-01-01,57.76832760595648
2014-02-01,50.10606060606061
2014-03-01,48.32146118721461
2014-04-01,47.07473309608541
2014-05-01,47.74701820464533
2014-06-01,48.7934357121349
2014-07-01,54.277827514174874
2014-08-01,53.29095792300806
2014-09-01,54.5505757858699
2014-10-01,44.054174067495566
2014-11-01,51.05324511657215
2014-12-01,52.73351732597364
2015-01-01,53.03321878579611
2015-02-01,45.09545454545455
2015-03-01,44.29467275494673
2015-04-01,45.11328588374852
2015-05-01,50.8609541745135
2015-06-01,62.734417344173444
2015-07-01,47.369740376007165
2015-08-01,45.396001193673534
2015-09-01,44.25801431683785
2015-10-01,72.4446417998816
2015-11-01,46.885633270321364
2015-12-01,38.53603189205766
2016-01-01,42.6159793814433
2016-02-01,54.11454545454546
2016-03-01,74.49558599695587
2016-04-01,71.59282325029656
2016-05-01,45.671060891399875
2016-06-01,47.79765130984643
2016-07-01,54.277827514174874
2016-08-01,62.172784243509405
2016-09-01,45.28727046374105
2016-10-01,40.13824748371818
2016-11-01,43.75992438563327
2016-12-01,56.789941735663916
2017-01-01,67.23854524627721
2017-02-01,48.10181818181819
2017-03-01,48.32146118721461
2017-04-01,45.11328588374852
2017-05-01,53.974890144381675
2017-06-01,85.63745859680819
2017-07-01,63.15965383467622
2017-08-01,52.30408833184124
2017-09-01,75.13569872393403
2017-10-01,48.949082297217295
2017-11-01,46.885633270321364
2017-12-01,45.63477460901565
2018-01-01,71.97365406643758
2018-02-01,70.14848484848486
2018-03-01,52.348249619482495
2018-04-01,55.90124555160142
2018-05-01,48.78499686126805
2018-06-01,51.7807889190003
2018-07-01,52.30408833184124
2018-08-01,60.199045061175774
2018-09-01,51.462807345160286
2018-10-01,52.86500888099468
2018-11-01,55.220856962822936
2018-12-01,54.761729530818776
2019-01-01,64.397479954181
2019-02-01,55.11666666666667
2019-03-01,57.38173515981735
2019-04-01,64.72775800711743
2019-05-01,51.89893283113622
2019-06-01,59.74706413730804
2019-07-01,73.02834974634438
2019-08-01,59.21217547000896
2019-09-01,53.5213196389667
2019-10-01,62.65482534043814
2019-11-01,61.47227473219912
2019-12-01,58.818153940509056
2020-01-01,59.662371134020624
2020-02-01,69.14636363636365
2020-03-01,76.5089802130898
2020-04-01,90.22657176749703
2020-05-01,73.69648462021344
2020-06-01,66.71755495332731
2020-07-01,63.15965383467622
2020-08-01,53.29095792300806
2020-09-01,57.63834422657952
2020-10-01,59.7178804026051
2020-11-01,58.34656584751103
2020-12-01,65.91689665746705
2021-01-01,63.450458190148915
2021-02-01,65.13787878787879
2021-03-01,80.53576864535769
2021-04-01,64.72775800711743
2021-05-01,68.50659133709982
2021-06-01,63.73020174646191
2021-07-01,63.15965383467622
2021-08-01,65.13339301700985
2021-09-01,72.0479302832244
