date,short term disability insurance
2017-11-01,56.36049170954832
2017-12-01,49.893565282454176
2018-01-01,50.612730566534914
2018-02-01,50.3770390070922
2018-03-01,52.40871294287781
2018-04-01,52.787464985994404
2018-05-01,57.713407494145194
2018-06-01,48.73560443490701
2018-07-01,49.35733741913517
2018-08-01,51.02199792960663
2018-09-01,48.11165223665224
2018-10-01,51.10418633931382
2018-11-01,49.72984562607204
2018-12-01,49.893565282454176
2019-01-01,47.74785902503294
2019-02-01,49.34893617021277
2019-03-01,54.50506146059293
2019-04-01,49.74203431372549
2019-05-01,59.97667837626854
2019-06-01,49.7725321888412
2019-07-01,45.40875042560436
2019-08-01,48.02070393374741
2019-09-01,48.11165223665224
2019-10-01,45.62873780295877
2019-11-01,53.873999428244716
2019-12-01,49.893565282454176
2020-01-01,50.612730566534914
2020-02-01,49.34893617021277
2020-03-01,48.216015907447584
2020-04-01,35.53002450980392
2020-05-01,39.60724043715847
2020-06-01,44.58789341917024
2020-07-01,47.383043922369765
2020-08-01,45.0194099378882
2020-09-01,43.928030303030305
2020-10-01,44.716163046899595
2020-11-01,40.61270726129217
2020-12-01,45.55499438832773
2021-01-01,39.15324440052701
2021-02-01,44.208421985815605
2021-03-01,41.92697035430225
2021-04-01,49.74203431372549
2021-05-01,48.66032396565183
2021-06-01,43.55096566523605
2021-07-01,45.40875042560436
2021-08-01,45.0194099378882
2021-09-01,46.01984126984127
2021-10-01,43.803588290840416
2021-11-01,46.41452258433391
2021-12-01,46.63963711185934
2022-01-01,47.74785902503294
2022-02-01,51.405141843971634
2022-03-01,53.45688720173537
2022-04-01,52.787464985994404
2022-05-01,49.7919594067135
2022-06-01,48.73560443490701
2022-07-01,43.434456928838955
2022-08-01,51.02199792960663
2022-09-01,48.11165223665224
2022-10-01,49.27903682719547
2022-11-01,51.38750714694111
2022-12-01,50.978208005985785
2023-01-01,44.88298748353096
2023-02-01,50.3770390070922
2023-03-01,49.26419016630514
2023-04-01,50.757177871148464
2023-05-01,53.186865729898514
2023-06-01,50.80945994277539
2023-07-01,42.44731018045625
2023-08-01,49.02113526570049
2023-09-01,43.928030303030305
2023-10-01,55.6670601196097
2023-11-01,58.84698399085192
2023-12-01,52.0628507295174
2024-01-01,51.56768774703558
2024-02-01,52.43324468085107
2024-03-01,51.360538684020256
2024-04-01,49.74203431372549
2024-05-01,52.05523028883684
2024-06-01,49.7725321888412
2024-07-01,51.331630915900575
2024-08-01,48.02070393374741
2024-09-01,48.11165223665224
2024-10-01,56.57963487566887
2024-11-01,62.16230703259006
2024-12-01,52.0628507295174
2025-01-01,49.65777338603426
2025-02-01,53.4613475177305
2025-03-01,49.26419016630514
2025-04-01,53.80260854341737
2025-05-01,55.45013661202185
2025-06-01,53.920243204577964
2025-07-01,54.29307116104869
2025-08-01,52.022429261559694
2025-09-01,56.47889610389611
2025-10-01,67.53053194837898
2025-11-01,82.88307604345341
2025-12-01,61.82463524130191
