date,medicare supplement
2018-01-01,37.37449971412235
2018-02-01,37.96051103368176
2018-03-01,38.033183183183176
2018-04-01,38.18224299065421
2018-05-01,38.04003724394785
2018-06-01,37.1198182850653
2018-07-01,35.720218579234974
2018-08-01,38.52280835881753
2018-09-01,37.49975845410628
2018-10-01,44.013624841571605
2018-11-01,42.27276345113021
2018-12-01,38.28447121820616
2019-01-01,45.55017152658662
2019-02-01,42.70557491289198
2019-03-01,41.71381381381381
2019-04-01,43.27320872274144
2019-05-01,41.84404096834264
2019-06-01,38.27981260647359
2019-07-01,41.301502732240436
2019-08-01,41.64627930682976
2019-09-01,42.43393719806763
2019-10-01,49.83895754119138
2019-11-01,44.2238140719516
2019-12-01,40.107541276215976
2020-01-01,45.55017152658662
2020-02-01,45.07810685249709
2020-03-01,34.35255255255255
2020-04-01,33.09127725856698
2020-05-01,40.57603972687771
2020-06-01,48.719761499148206
2020-07-01,50.231557377049185
2020-08-01,53.099006116207946
2020-09-01,50.3286231884058
2020-10-01,49.83895754119138
2020-11-01,43.573463865011135
2020-12-01,48.31135653726015
2021-01-01,42.046312178387645
2021-02-01,51.00943670150987
2021-03-01,55.20945945945945
2021-04-01,58.54610591900312
2021-05-01,59.596058348851635
2021-06-01,59.15971039182282
2021-07-01,55.81284153005465
2021-08-01,53.099006116207946
