category,keyword,pearson_r,p_value,n_months,p_adj_bh,significant
Housing_rent_and_stress,rental_assistance_program,0.0797,0.5057,72,0.585482,False
Housing_rent_and_stress,renters_insurance,0.0783,0.5135,72,0.591716,False
Housing_rent_and_stress,rent_relief,0.0589,0.6233,72,0.692711,False
Housing_rent_and_stress,rent_payment_help,0.0419,0.7265,72,0.785645,False
Housing_rent_and_stress,cheap_apartments,0.0061,0.9594,72,0.96522,False
Housing_rent_and_stress,property_tax_relief,-0.0974,0.4154,72,0.494764,False
Housing_rent_and_stress,storage_unit_rental,-0.1006,0.4007,72,0.479441,False
Housing_rent_and_stress,utilities_assistance,-0.104,0.3846,72,0.46469,False
Housing_rent_and_stress,emergency_rental_assistance,-0.1078,0.3674,72,0.446087,False
Housing_rent_and_stress,housing_market_crash,-0.1329,0.2659,72,0.335091,False
Housing_rent_and_stress,apartment_for_rent,-0.1549,0.1939,72,0.255234,False
Housing_rent_and_stress,housing_prices,-0.1727,0.147,72,0.197692,False
Housing_rent_and_stress,property_tax,-0.1863,0.1171,72,0.163673,False
Housing_rent_and_stress,late_rent,-0.1963,0.0985,72,0.140422,False
Housing_rent_and_stress,water_bill_assistance,-0.2889,0.0138,72,0.025288,True
Housing_rent_and_stress,moving_costs,-0.2949,0.0119,72,0.02201,True
Housing_rent_and_stress,low_income_housing,-0.3179,0.0065,72,0.012976,True
Housing_rent_and_stress,room_for_rent,-0.325,0.0053,72,0.011006,True
Housing_rent_and_stress,housing_voucher,-0.3425,0.0032,72,0.007226,True
Housing_rent_and_stress,homeless_assistance,-0.3598,0.0019,72,0.004425,True
Housing_rent_and_stress,rent_increase,-0.3973,0.0005,72,0.001393,True
Housing_rent_and_stress,eviction_help,-0.4078,0.0004,72,0.000995,True
Housing_rent_and_stress,housing_affordability,-0.4576,0.0001,72,0.000162,True
Housing_rent_and_stress,electric_bill_help,-0.4606,0.0,72,0.000144,True
Housing_rent_and_stress,utility_bill_help,-0.4784,0.0,72,7e-05,True
Housing_rent_and_stress,lease_agreement,-0.4996,0.0,72,2.8e-05,True
Housing_rent_and_stress,affordable_housing,-0.535,0.0,72,5e-06,True
Housing_rent_and_stress,section_8_housing,-0.5403,0.0,72,4e-06,True
Housing_rent_and_stress,rent_control,-0.5495,0.0,72,3e-06,True
Housing_rent_and_stress,tenant_rights,-0.5658,0.0,72,1e-06,True
Housing_rent_and_stress,public_housing,-0.5821,0.0,72,0.0,True
Housing_rent_and_stress,sublease,-0.5951,0.0,72,0.0,True
Housing_rent_and_stress,homeless_shelter,-0.6355,0.0,72,0.0,True
Housing_rent_and_stress,housing_authority,-0.7203,0.0,72,0.0,True
