date,ride share
2010-04-01,21.89238410596026
2010-05-01,17.404791154791155
2010-06-01,17.990476190476187
2010-07-01,16.936107965269912
2010-08-01,18.71885617214043
2010-09-01,19.653686087990486
2010-10-01,18.763592639063152
2010-11-01,18.64144736842105
2010-12-01,19.8864140070922
2011-01-01,19.941008445106803
2011-02-01,21.959740577581986
2011-03-01,21.475670759436106
2011-04-01,19.807395143487856
2011-05-01,20.30558968058968
2011-06-01,22.488095238095234
2011-07-01,19.610230275575688
2011-08-01,22.284352585881464
2011-09-01,21.525465715418154
2011-10-01,23.70138017565872
2011-11-01,24.855263157894733
2011-12-01,24.073027482269502
2012-01-01,24.633010432190755
2012-02-01,21.959740577581986
2012-03-01,19.328103683492493
2012-04-01,20.849889624724057
2012-05-01,22.239455364455363
2012-06-01,19.789523809523807
2012-07-01,18.71885617214043
2012-08-01,20.501604379010946
2012-09-01,18.717796274276655
2012-10-01,18.763592639063152
2012-11-01,20.712719298245613
2012-12-01,17.793107269503547
2013-01-01,19.941008445106803
2013-02-01,17.33663729809104
2013-03-01,19.328103683492493
2013-04-01,17.72240618101545
2013-05-01,18.371723996723997
2013-06-01,19.789523809523807
2013-07-01,18.71885617214043
2013-08-01,21.392978482446207
2013-09-01,23.397245342845817
2013-10-01,22.713822668339606
2013-11-01,21.748355263157894
2013-12-01,23.02637411347518
2014-01-01,25.806010928961744
2014-02-01,25.427068037200193
2014-03-01,24.69702137335152
2014-04-01,27.104856512141275
2014-05-01,26.107186732186733
2014-06-01,26.98571428571428
2014-07-01,25.8498489996225
2014-08-01,26.741223103057756
2014-09-01,25.269024970273485
2014-10-01,27.65161020493517
2014-11-01,27.962171052631575
2014-12-01,27.21298758865248
2015-01-01,25.806010928961744
2015-02-01,28.894395496818404
2015-03-01,28.992155525238744
2015-04-01,28.14735099337748
2015-05-01,27.074119574119575
2015-06-01,26.086190476190474
2015-07-01,29.415345413363532
2015-08-01,27.632597206493017
2015-09-01,28.076694411414984
2015-10-01,27.65161020493517
2015-11-01,27.962171052631575
2015-12-01,27.21298758865248
2016-01-01,31.671013412816688
2016-02-01,32.36172295643661
2016-03-01,31.139722601182353
2016-04-01,32.31732891832229
2016-05-01,36.743447993447994
2016-06-01,36.88047619047619
2016-07-01,33.872215930539824
2016-08-01,33.872215930539824
2016-09-01,36.499702734839474
2016-10-01,35.552070263488076
2016-11-01,35.21162280701754
2016-12-01,37.67952127659574
2017-01-01,39.882016890213606
2017-02-01,41.607929515418505
2017-03-01,44.02512505684402
2017-04-01,38.57229580573951
2017-05-01,36.743447993447994
2017-06-01,36.88047619047619
2017-07-01,34.763590033975085
2017-08-01,37.43771234428086
2017-09-01,39.30737217598097
2017-10-01,36.53962777080719
2017-11-01,36.24725877192982
2017-12-01,34.539561170212764
2018-01-01,39.882016890213606
2018-02-01,41.607929515418505
2018-03-01,39.72999090495679
2018-04-01,39.61479028697571
2018-05-01,40.61117936117936
2018-06-01,38.6795238095238
2018-07-01,41.89458286145715
2018-08-01,43.67733106832767
2018-09-01,38.371482362267145
2018-10-01,44.440087829360095
2018-11-01,45.56798245614035
2018-12-01,43.9594414893617
2019-01-01,48.09302036761052
2019-02-01,42.763705335291235
2019-03-01,48.32025920873124
2019-04-01,54.20971302428255
2019-05-01,51.24744062244062
2019-06-01,44.97619047619047
2019-07-01,42.785956964892414
2019-08-01,43.67733106832767
2019-09-01,43.986821244550136
2019-10-01,44.440087829360095
2019-11-01,49.710526315789465
