date,real estate investing
2018-11-01,29.518253968253966
2018-12-01,30.556566455696203
2019-01-01,29.10388409371146
2019-02-01,30.804845222072675
2019-03-01,29.91895424836601
2019-04-01,31.767496635262447
2019-05-01,31.93944519621109
2019-06-01,32.466643741403026
2019-07-01,36.51145287958115
2019-08-01,42.81768707482993
2019-09-01,36.79046898638426
2019-10-01,37.28791469194313
2019-11-01,35.19484126984127
2019-12-01,37.34691455696203
2020-01-01,34.39549938347718
2020-02-01,32.730148048452214
2020-03-01,27.114052287581696
2020-04-01,28.879542395693132
2020-05-01,30.97158322056833
2020-06-01,32.466643741403026
2020-07-01,31.830497382198953
2020-08-01,33.08639455782313
2020-09-01,33.544251134644476
2020-10-01,32.76816745655608
2020-11-01,31.788888888888888
2020-12-01,35.083465189873415
2021-01-01,32.63162762022194
2021-02-01,31.767496635262447
2021-03-01,27.114052287581696
2021-04-01,32.730148048452214
2021-05-01,30.003721244925572
2021-06-01,26.563617606602474
2021-07-01,27.149541884816752
2021-08-01,29.193877551020407
