date,Roth IRA
2015-04-01,30.430402930402927
2015-05-01,27.957932692307693
2015-06-01,27.473622047244096
2015-07-01,26.681021897810215
2015-08-01,27.818112633181123
2015-09-01,25.791258169934643
2015-10-01,25.960937499999996
2015-11-01,24.43382352941176
2015-12-01,23.076388888888886
2016-01-01,19.337063563115485
2016-02-01,21.127157129881923
2016-03-01,22.912144128113876
2016-04-01,25.105082417582416
2016-05-01,23.963942307692307
2016-06-01,23.548818897637794
2016-07-01,21.82992700729927
2016-08-01,22.760273972602736
2016-09-01,23.07638888888889
2016-10-01,23.48846726190476
2016-11-01,23.270308123249297
2016-12-01,22.188835470085465
2017-01-01,25.286929274843327
2017-02-01,27.16348773841962
2017-03-01,28.085854092526688
2017-04-01,28.90888278388278
2017-05-01,30.62059294871795
2017-06-01,28.781889763779528
2017-07-01,30.319343065693428
2017-08-01,29.08257229832572
2017-09-01,29.86356209150327
2017-10-01,32.14211309523809
2017-11-01,31.414915966386552
2017-12-01,29.289262820512814
2018-01-01,31.23679498657117
2018-02-01,29.42711171662125
2018-03-01,28.82495551601423
2018-04-01,29.669642857142854
2018-05-01,30.62059294871795
2018-06-01,31.398425196850393
2018-07-01,31.532116788321165
2018-08-01,35.404870624048705
2018-09-01,33.935866013071895
2018-10-01,30.90587797619047
2018-11-01,29.08788515406162
2018-12-01,26.62660256410256
2019-01-01,28.26186213070725
2019-02-01,33.19981834695731
2019-03-01,33.259564056939496
2019-04-01,34.23420329670329
2019-05-01,34.614583333333336
2019-06-01,35.323228346456695
2019-07-01,36.38321167883211
2019-08-01,35.404870624048705
2019-09-01,35.29330065359477
2019-10-01,35.85081845238095
2019-11-01,36.06897759103641
2019-12-01,36.38969017094016
2020-01-01,40.161593554162934
2020-02-01,37.72706630336058
2020-03-01,31.78136120996441
2020-04-01,28.148122710622708
2020-05-01,42.6025641025641
2020-06-01,47.09763779527559
2020-07-01,53.36204379562043
2020-08-01,45.52054794520547
2020-09-01,43.43790849673203
2020-10-01,40.79575892857142
2020-11-01,38.39600840336134
2020-12-01,47.040331196581185
2021-01-01,51.317591763652636
2021-02-01,55.836058128973654
2021-03-01,45.82428825622775
2021-04-01,43.363324175824175
2021-05-01,62.57251602564102
2021-06-01,54.94724409448819
2021-07-01,52.14927007299269
2021-08-01,51.842846270928455
