date,ETF
2015-05-01,17.09190672153635
2015-06-01,18.502795248078264
2015-07-01,19.190985732814525
2015-08-01,21.147318397827565
2015-09-01,18.256410256410255
2015-10-01,14.421296296296296
2015-11-01,13.87086513994911
2015-12-01,13.90625
2016-01-01,15.03549119818285
2016-02-01,15.988828502415458
2016-03-01,12.796361502347418
2016-04-01,14.195963541666666
2016-05-01,14.955418381344307
2016-06-01,17.414395527603073
2016-07-01,14.140726329442282
2016-08-01,14.803122878479297
2016-09-01,13.692307692307692
2016-10-01,12.36111111111111
2016-11-01,16.84319338422392
2016-12-01,15.760416666666668
2017-01-01,15.919931856899488
2017-02-01,17.869867149758456
2017-03-01,19.194542253521128
2017-04-01,16.223958333333332
2017-05-01,20.296639231824415
2017-06-01,18.502795248078264
2017-07-01,17.17088197146563
2017-08-01,17.97522063815343
2017-09-01,18.256410256410255
2017-10-01,19.57175925925926
2017-11-01,18.824745547073793
2017-12-01,21.322916666666668
2018-01-01,28.302101078932424
2018-02-01,25.394021739130434
2018-03-01,17.36649061032864
2018-04-01,18.251953125
2018-05-01,19.228395061728396
2018-06-01,19.591194968553456
2018-07-01,19.190985732814525
2018-08-01,23.26205023761032
2018-09-01,21.67948717948718
2018-10-01,21.631944444444443
2018-11-01,16.84319338422392
2018-12-01,16.6875
2019-01-01,17.688813174332765
2019-02-01,17.869867149758456
2019-03-01,18.280516431924884
2019-04-01,19.265950520833332
2019-05-01,20.296639231824415
2019-06-01,19.591194968553456
2019-07-01,18.18093385214008
2019-08-01,21.147318397827565
2019-09-01,21.67948717948718
2019-10-01,18.541666666666664
2019-11-01,17.833969465648856
2019-12-01,18.541666666666668
2020-01-01,22.111016467915956
2020-02-01,26.334541062801932
2020-03-01,51.18544600938967
2020-04-01,53.741861979166664
2020-05-01,37.38854595336077
2020-06-01,41.3591893780573
2020-07-01,37.371919584954604
2020-08-01,38.06517311608962
2020-09-01,34.230769230769226
2020-10-01,26.782407407407405
2020-11-01,28.732506361323157
2020-12-01,35.22916666666667
2021-01-01,46.87535491198183
2021-02-01,58.31219806763285
2021-03-01,51.18544600938967
2021-04-01,40.55989583333333
2021-05-01,43.7980109739369
2021-06-01,37.00559049615653
2021-07-01,30.30155642023346
2021-08-01,31.72097759674135
2021-09-01,34.230769230769226
2021-10-01,43.263888888888886
