date,interest rates
2012-10-01,22.243884892086328
2012-11-01,20.691074950690336
2012-12-01,18.216642406598737
2013-01-01,21.264786795048142
2013-02-01,21.594222222222218
2013-03-01,18.530511060259343
2013-04-01,20.684120902511705
2013-05-01,24.369655172413793
2013-06-01,32.60872483221476
2013-07-01,32.40348464007336
2013-08-01,25.642960812772138
2013-09-01,24.344135802469133
2013-10-01,24.362350119904075
2013-11-01,20.691074950690336
2013-12-01,19.2882096069869
2014-01-01,19.239569005043556
2014-02-01,20.612666666666662
2014-03-01,16.845919145690313
2014-04-01,19.743933588761173
2014-05-01,20.308045977011492
2014-06-01,18.77472035794183
2014-07-01,19.239569005043556
2014-08-01,17.095307208514757
2014-09-01,18.50154320987654
2014-10-01,21.184652278177456
2014-11-01,18.513067061143985
2014-12-01,19.2882096069869
2015-01-01,22.277395690050433
2015-02-01,21.594222222222218
2015-03-01,21.89969488939741
2015-04-01,21.624308216262236
2015-05-01,23.354252873563215
2015-06-01,22.727293064876953
2015-07-01,22.277395690050433
2015-08-01,24.574504112239964
2015-09-01,27.26543209876543
2015-10-01,23.303117505995203
2015-11-01,23.958086785009865
2015-12-01,30.00388161086851
2016-01-01,22.277395690050433
2016-02-01,29.446666666666662
2016-03-01,19.37280701754386
2016-04-01,21.624308216262236
2016-05-01,23.354252873563215
2016-06-01,20.751006711409392
2016-07-01,21.264786795048142
2016-08-01,21.369134010643446
2016-09-01,22.3966049382716
2016-10-01,22.243884892086328
2016-11-01,30.49211045364892
2016-12-01,31.07544881125667
2017-01-01,23.290004585052728
2017-02-01,24.538888888888884
2017-03-01,26.111174675819985
2017-04-01,24.444870157513833
2017-05-01,22.33885057471264
2017-06-01,22.727293064876953
2017-07-01,21.264786795048142
2017-08-01,20.300677310111276
2017-09-01,20.449074074074073
2017-10-01,23.303117505995203
2017-11-01,22.86908284023669
2017-12-01,21.431344007763222
2018-01-01,22.277395690050433
2018-02-01,31.409777777777773
2018-03-01,24.426582761250955
2018-04-01,25.385057471264364
2018-05-01,28.43126436781609
2018-06-01,26.679865771812075
2018-07-01,25.31522237505731
2018-08-01,23.50604741170779
2018-09-01,26.291666666666664
2018-10-01,32.836211031175054
2018-11-01,28.314102564102566
2018-12-01,32.14701601164484
2019-01-01,28.353049060064187
2019-02-01,25.52044444444444
2019-03-01,24.426582761250955
2019-04-01,28.20561941251596
2019-05-01,27.415862068965517
2019-06-01,29.64429530201342
2019-07-01,34.42870243007794
2019-08-01,38.4644412191582
2019-09-01,33.10802469135802
2019-10-01,31.776978417266186
2019-11-01,28.314102564102566
2019-12-01,23.574478408539544
2020-01-01,27.340440165061896
2020-02-01,28.465111111111106
2020-03-01,84.22959572845157
2020-04-01,39.48786717752235
2020-05-01,37.56988505747126
2020-06-01,34.58501118568232
2020-07-01,34.42870243007794
2020-08-01,34.190614417029515
2020-09-01,29.21296296296296
2020-10-01,30.71774580335731
2020-11-01,28.314102564102566
2020-12-01,25.717612809315867
2021-01-01,30.378266850068773
2021-02-01,32.39133333333333
2021-03-01,29.480358504958048
2021-04-01,29.145806726266493
2021-05-01,29.446666666666665
2021-06-01,26.679865771812075
2021-07-01,23.290004585052728
2021-08-01,24.574504112239964
2021-09-01,22.3966049382716
2021-10-01,27.54004796163069
2021-11-01,32.67011834319527
2021-12-01,26.789180009704026
2022-01-01,38.47913801008711
2022-02-01,40.24377777777777
2022-03-01,43.79938977879482
2022-04-01,53.590676883780326
2022-05-01,59.908735632183905
2022-06-01,67.19373601789708
2022-07-01,58.73131591013296
2022-08-01,47.01209482341558
2022-09-01,54.53086419753086
2022-10-01,60.37625899280575
2022-11-01,62.073224852071014
2022-12-01,52.50679281901989
2023-01-01,51.643053645116915
2023-02-01,58.893333333333324
2023-03-01,63.172196796338675
2023-04-01,54.53086419753085
2023-05-01,61.939540229885054
2023-06-01,52.37158836689037
2023-07-01,58.73131591013296
2023-08-01,58.76511852926948
2023-09-01,54.53086419753086
2023-10-01,62.494724220623496
2023-11-01,64.25123274161736
2023-12-01,67.50873362445415
2024-01-01,58.73131591013296
2024-02-01,54.9671111111111
2024-03-01,48.85316552250191
2024-04-01,56.41123882503192
2024-05-01,53.81632183908046
2024-06-01,46.442729306487685
2024-07-01,49.61783585511233
2024-08-01,66.24431543299468
2024-09-01,76.92746913580245
2024-10-01,52.96163069544364
2024-11-01,64.25123274161736
2024-12-01,52.50679281901989
2025-01-01,54.68088033012379
2025-02-01,52.02244444444444
2025-03-01,52.22234935163997
2025-04-01,61.11217539378458
2025-05-01,48.73931034482759
2025-06-01,47.43087248322147
2025-07-01,67.8447959651536
2025-08-01,61.970488630865994
2025-09-01,73.0324074074074
2025-10-01,57.19856115107913
2025-11-01,57.71720907297831
2025-12-01,73.93813682678312
