date,options trading
2010-09-01,19.143939393939394
2010-10-01,20.84983498349835
2010-11-01,18.703125
2010-12-01,18.520358306188925
2011-01-01,21.78448275862069
2011-02-01,22.889492753623188
2011-03-01,22.52751937984496
2011-04-01,23.85919540229885
2011-05-01,22.222361809045225
2011-06-01,17.361068702290076
2011-07-01,20.600543478260867
2011-08-01,24.223542944785276
2011-09-01,20.207491582491585
2011-10-01,19.807343234323433
2011-11-01,19.7421875
2011-12-01,18.520358306188925
2012-01-01,17.995877061469265
2012-02-01,21.058333333333334
2012-03-01,22.52751937984496
2012-04-01,22.82183908045977
2012-05-01,23.280569514237854
2012-06-01,19.290076335877863
2012-07-01,17.657608695652172
2012-08-01,19.37883435582822
2012-09-01,21.27104377104377
2012-10-01,18.764851485148515
2012-11-01,18.703125
2012-12-01,18.520358306188925
2013-01-01,21.78448275862069
2013-02-01,21.058333333333334
2013-03-01,20.568604651162794
2013-04-01,19.70977011494253
2013-05-01,21.164154103852596
2013-06-01,17.361068702290076
2013-07-01,18.63858695652174
2013-08-01,18.40989263803681
2013-09-01,18.080387205387204
2013-10-01,19.807343234323433
2013-11-01,19.7421875
2013-12-01,18.520358306188925
2014-01-01,19.890179910044978
2014-02-01,20.142753623188405
2014-03-01,19.589147286821706
2014-04-01,20.74712643678161
2014-05-01,17.989530988274705
2014-06-01,17.361068702290076
2014-07-01,20.600543478260867
2014-08-01,18.40989263803681
2014-09-01,19.143939393939394
2014-10-01,17.722359735973598
2014-11-01,17.6640625
2014-12-01,17.49144951140065
2015-01-01,17.995877061469265
2015-02-01,18.31159420289855
2015-03-01,19.589147286821706
2015-04-01,19.70977011494253
2015-05-01,19.047738693467334
2015-06-01,16.396564885496183
2015-07-01,19.619565217391305
2015-08-01,18.40989263803681
2015-09-01,19.143939393939394
2015-10-01,17.722359735973598
2015-11-01,16.625
2015-12-01,15.433631921824103
2016-01-01,17.995877061469265
2016-02-01,19.22717391304348
2016-03-01,19.589147286821706
2016-04-01,20.74712643678161
2016-05-01,21.164154103852596
2016-06-01,18.32557251908397
2016-07-01,19.619565217391305
2016-08-01,19.37883435582822
2016-09-01,20.207491582491585
2016-10-01,19.807343234323433
2016-11-01,21.8203125
2016-12-01,22.63599348534202
2017-01-01,22.731634182908543
2017-02-01,21.058333333333334
2017-03-01,21.548062015503877
2017-04-01,20.74712643678161
2017-05-01,23.280569514237854
2017-06-01,20.254580152671753
2017-07-01,20.600543478260867
2017-08-01,19.37883435582822
2017-09-01,19.143939393939394
2017-10-01,21.89232673267327
2017-11-01,18.703125
2017-12-01,22.63599348534202
2018-01-01,21.78448275862069
2018-02-01,19.22717391304348
2018-03-01,24.486434108527135
2018-04-01,23.85919540229885
2018-05-01,22.222361809045225
2018-06-01,21.219083969465647
2018-07-01,21.581521739130434
2018-08-01,22.285659509202453
2018-09-01,24.46170033670034
2018-10-01,22.934818481848186
2018-11-01,18.703125
2018-12-01,19.549267100977197
2019-01-01,20.837331334332834
2019-02-01,19.22717391304348
2019-03-01,19.589147286821706
2019-04-01,21.78448275862069
2019-05-01,22.222361809045225
2019-06-01,19.290076335877863
2019-07-01,20.600543478260867
2019-08-01,22.285659509202453
2019-09-01,22.33459595959596
2019-10-01,29.18976897689769
2019-11-01,25.9765625
2019-12-01,24.693811074918564
2020-01-01,26.520239880059968
2020-02-01,34.792028985507244
2020-03-01,65.62364341085272
2020-04-01,66.39080459770115
2020-05-01,59.259631490787264
2020-06-01,69.4442748091603
2020-07-01,60.82065217391304
2020-08-01,59.10544478527607
2020-09-01,60.62247474747475
2020-10-01,38.572194719471945
2020-11-01,41.5625
2020-12-01,58.64780130293159
2021-01-01,90.92653673163417
2021-02-01,91.55797101449275
2021-03-01,52.890697674418604
2021-04-01,40.456896551724135
2021-05-01,39.1536850921273
2021-06-01,46.29618320610687
2021-07-01,34.33423913043478
2021-08-01,31.975076687116562
2021-09-01,35.09722222222222
2021-10-01,36.48721122112211
2021-11-01,40.5234375
2021-12-01,36.01180781758958
2022-01-01,35.04460269865067
2022-02-01,29.298550724637682
2022-03-01,32.32209302325582
2022-04-01,33.195402298850574
2022-05-01,30.68802345058626
2022-06-01,26.041603053435114
2022-07-01,28.44836956521739
2022-08-01,30.037193251533743
2022-09-01,29.77946127946128
2022-10-01,27.104785478547853
2022-11-01,29.09375
2022-12-01,27.780537459283387
2023-01-01,27.467391304347824
2023-02-01,28.382971014492753
2023-03-01,29.38372093023256
2023-04-01,29.04597701149425
2023-05-01,34.92085427135678
2023-06-01,30.86412213740458
2023-07-01,30.41032608695652
2023-08-01,26.1614263803681
2023-09-01,28.715909090909093
2023-10-01,26.062293729372936
2023-11-01,29.09375
2023-12-01,30.867263843648207
2024-01-01,34.09745127436282
2024-02-01,34.792028985507244
2024-03-01,39.17829457364341
2024-04-01,33.195402298850574
2024-05-01,34.92085427135678
2024-06-01,35.686641221374046
2024-07-01,32.37228260869565
2024-08-01,32.94401840490797
2024-09-01,32.97011784511785
2024-10-01,31.274752475247524
2024-11-01,45.71875
2024-12-01,38.06962540716612
2025-01-01,37.88605697151424
2025-02-01,40.28550724637681
2025-03-01,36.23992248062016
2025-04-01,44.60632183908046
2025-05-01,38.09547738693467
2025-06-01,72.33778625954199
2025-07-01,92.21195652173913
2025-08-01,78.4842791411043
2025-09-01,85.08417508417509
2025-10-01,82.35684818481849
2025-11-01,81.046875
2025-12-01,85.39942996742671
